run,algorithm,setting,reserve,enabled,env_seed,pnl,objective,opening_inventory,final_inventory,auction_quantity,cancellation_fees,cancels
sac_verified_history,sac,historical_sp500_midquotes,0,False,38137826,5.0998736361725605,5.09561553644972,0.6525411652026634,0.652541165202678,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,440852670,-26.300730468119585,-26.308206341145077,0.8646313101834835,0.8646313101834959,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,1945446605,-30.21081326107196,-30.214281207047943,0.5888926876759939,0.5888926876759886,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,1154827508,4.318498817841828,4.315262952340744,0.5688466841851181,0.5688466841851323,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,993215842,0.3816161342328996,0.3809796812371394,0.2522802005232449,0.2522802005232041,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,203881053,4.58506339716223,4.577696618617783,0.8582993967402643,0.858299396740259,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,1698224781,-2.6432829555087665,-2.643952735330464,0.2588010474664912,0.2588010474665143,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,1641320225,2.806289594123882,2.80233679417396,0.6287129670940743,0.6287129670940601,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,835891747,-0.6571422343440645,-0.6663119609813135,0.957586896174405,0.9575868961743872,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,2098874635,1.5704580377660022,1.5664631728321152,0.6320494390383402,0.63204943903835,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,False,626392803,-29.335657134455687,-29.335731443357908,0.0862026114572813,0.0862026114572449,0.0,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,401058792,2.0217054404729424,1.7305008641020176,0.1311625719762759,-5.396337428023982,5.527500000000259,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,1822668597,0.9551421566503122,0.9530187236192792,0.3693783678886149,-0.4608072298730854,0.8301855977617039,0.036,8
sac_verified_history,sac,historical_sp500_midquotes,0,True,1465431171,6.3890304187191065,6.03225802188697,0.1880427491527854,5.97304274915337,-5.7850000000005615,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,157564097,-3.76495823601888,-10.607024087657692,0.8776571463411642,-26.157342853659294,27.035000000000466,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,245238582,-23.124920504471245,-23.597281144401897,0.8253109165807189,-6.872849772333513,7.698160688914239,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,1117977144,-1.241087396425224,-1.8468349705815703,0.7914799867795779,7.782978698135737,-6.991498711356146,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,523826546,6.766663283455913,6.554898038357953,0.1367117439606175,4.601795791839964,-4.4650840478793254,0.0209999999999999,6
sac_verified_history,sac,historical_sp500_midquotes,0,True,1124484429,-26.58617531667126,-26.589639689460093,0.517801359980524,0.5885892276312259,-0.0707878676507054,0.003,2
sac_verified_history,sac,historical_sp500_midquotes,0,True,171768458,5.792186043301597,5.791928263147326,0.6055553344712479,0.1605553344712476,0.4449999999999718,0.3570000000000001,23
sac_verified_history,sac,historical_sp500_midquotes,0,True,1868865057,4.1671110596926155,4.10000630977028,0.3945415478654155,-2.5904584521342073,2.984999999999612,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,301461638,-1.392019968579625,-1.4376575304017,0.162130467319244,2.136294966105449,-1.9741644987862157,0.055,10
