run,algorithm,seed,setting,symbol,episodes,flow,n_step,layer_norm,safe_initialization,grad_clip,initial_validation,final_validation,status,max_loss_clob,max_loss_auction,selected_episode,selected_validation,pnl,objective,auction_value,auction_value_se,open_abs_inventory,final_abs_inventory,risk_relief,as_objective,gap_as,twap_objective,gap_twap
ddpg_liquidity829,ddpg,829,synthetic_rough_heston,,200,0.25,1,False,False,1.0,-23.290606461151445,-6.017707637042313,no_mature_checkpoint,16.599166584014892,2.159868578116099,,,,,,,,,,,,,
ddpg_liquidity_sync829,ddpg,829,synthetic_rough_heston,,200,0.25,1,False,False,1.0,-23.290606461151445,-4.1536549312987106,completed,32.53541010076349,1.3513206779956817,200.0,-4.1536549312987106,-1.8540304095802327,-5.869485041947172,-0.08040071520629,1.2273970682767934,20.083531911325316,15.0239026880623,1.992476923689527,-32.751938055720046,26.882453013772874,-37.61333690170413,31.74385185975696
dqn_clip10853,dqn,853,synthetic_rough_heston,,200,0.5,3,True,False,10.0,-4.09689459518043,2.5097373695977674,completed,67.34744081264589,10.733584240078926,200.0,2.5097373695977674,2.6855425021800774,1.9197469611654614,-0.28927643542778536,0.07659985019917773,3.6835267421016433,4.136563672364469,-0.09654246767753583,2.525268655861028,-0.6055216946955666,-3.652468153892247,5.572215115057707
dqn_clip10881,dqn,881,synthetic_rough_heston,,200,0.5,3,True,False,10.0,-0.46952891584907847,8.571745589838667,completed,40.2948836702289,1.6466809202517785,200.0,8.571745589838667,8.399722392264103,7.797985785683512,-0.07855735735033424,0.035652649999391696,3.994756415838536,4.1640128941986445,0.025198884228821196,3.9835933918208766,3.8143923938626356,-0.687510300454186,8.485496086137697
dqn_clip10_msft887,dqn,887,historical_sp500_midquotes,MSFT,200,0.5,3,True,False,10.0,-76.16899256552935,6.0494198616131065,completed,47.46356612443924,1.1206289242420877,150.0,6.485721365188358,7.077289295506978,4.936432223812312,1.1983697561114453,0.2612026558214915,11.022641247612766,8.687971953156099,1.4700417308306077,1.6811747694871095,3.2552574543252013,-1.751360413181549,6.68779263699386
dqn_control_syn821,dqn,821,synthetic_rough_heston,,180,1.0,1,False,False,1.0,0.7231718283043711,5.475352333916338,completed,10.063588383793832,1.09400503312548,120.0,6.436747080844403,4.505460292217256,4.345214204682825,0.010936420465479473,0.03857169871612874,0.5515170287153742,2.327745183574936,-0.15637435707003136,5.956493037724101,-1.611278833041276,-1.1460575421215504,5.491271746804376
dqn_control_syn827,dqn,827,synthetic_rough_heston,,180,1.0,1,False,False,1.0,7.468093133294423,6.930766069709328,completed,5.597534769459775,1.0397962853312492,180.0,6.930766069709328,8.820435830721731,8.778318494801205,-0.21766464439597627,0.019320204292898872,0.941772475602301,0.9068725194862443,0.0031594724990298283,8.463212036625773,0.3151064581754312,0.23138008191105697,8.546938412890148
dqn_half839,dqn,839,synthetic_rough_heston,,200,0.5,3,True,False,1.0,-31.285216610827465,3.180950168431571,completed,20.27863994511691,1.8729504431997024,200.0,3.180950168431571,6.174185571537432,4.1246503897143905,0.3926283065549093,0.10585669326171464,10.560150427021135,9.83889395939209,0.4709011502595088,3.853374616769435,0.271275772944956,-4.3551729928336655,8.479823382548055
dqn_half_msft841,dqn,841,historical_sp500_midquotes,MSFT,200,0.5,3,True,False,1.0,-1.8751442074575215,2.566704927155433,completed,48.35685432247999,1.4746589245540755,120.0,3.682977627745262,3.0910496695571545,1.1966327945022912,0.9004021363104084,0.18205483080688406,11.876220964728663,8.530008286325641,1.4854110019733469,-0.0926685891362985,1.2893013836385894,-4.138739646034539,5.33537244053683
dqn_liquidity829,dqn,829,synthetic_rough_heston,,200,0.25,1,True,False,1.0,-20.70709276875147,0.2232557036504604,no_mature_checkpoint,18.0959228515625,0.5321994816263517,,,,,,,,,,,,,
