run,algorithm,seed,setting,symbol,episodes,validation_paths,confirmation_paths,initial_bps,last_bps,selected_bps,selected_episode,best_to_last_bps,confirmation_bps,confirmation_pnl_bps,auction_bps,opening_inventory,final_inventory,absolute_final_inventory,auction_qty,finite_evaluations,finite_post_warmup_losses,gap_as_bps,gap_twap_bps
confirm_sac1951_v18,sac,1951,synthetic_rough_heston,,200,64,128,6.05369252318935,6.761720912694701,7.077381037767093,150,0.3156601250723927,3.586352153357403,5.585071307036136,0.9885333771977747,7.757792525654764,4.534973527496563,7.095214681410253,3.2228189981582016,True,True,-0.3629780271600401,7.836750299883955
confirm_sac1973_candidate,sac,1973,synthetic_rough_heston,,200,64,128,4.586679998848078,6.135676366990057,6.135676366990057,200,0.0,4.467298633345543,5.329370118573862,1.246622595602509,8.144862536310207,3.9404108841017487,5.360348499220896,4.2044516522084585,True,True,1.7090675167196208,11.105512323123449
confirm_sac1973_v18,sac,1973,synthetic_rough_heston,,200,64,128,4.464420312186262,4.840806920540539,4.840806920540539,200,0.0,4.8521390768485935,6.5121954261337605,2.5853010532633784,12.554708300818248,6.689355780101759,7.6574538787076545,5.86535252071649,True,True,2.093907960222671,11.490352766626497
confirm_td31951_candidate,td3,1951,synthetic_rough_heston,,200,64,128,6.23715206479815,6.016908604581996,6.016908604581996,200,0.22024346021615404,3.5433957257999915,4.07615996032609,-0.07118891441307393,1.805098521299319,1.7201714165748783,2.3588639317311832,0.08492710472444238,True,True,-0.4059344547174517,7.7937938723265425
confirm_td31951_v18,td3,1951,synthetic_rough_heston,,200,64,128,6.050302060722092,5.731699637964326,5.731699637964326,200,0.31860242275776596,3.2530644858772417,4.837557355716919,1.2598014919160638,6.042488950668958,6.577474939565134,7.595246602537488,-0.5349859888961759,True,True,-0.696265694640201,7.503462632403793
confirm_td31973_candidate,td3,1973,synthetic_rough_heston,,200,64,128,3.7323837313981083,5.479933377594807,5.593468226617663,150,0.11353484902285604,3.636142639577606,4.708695535765683,0.5187356808049857,7.48490207427208,1.788962299826184,5.678476211733678,5.695939774445896,True,True,0.8779115229516836,10.274356329355511
confirm_td31973_v18,td3,1973,synthetic_rough_heston,,200,64,128,3.3810259672716727,4.020374319921196,4.277615564695534,100,0.2572412447743382,5.23470467297242,7.160252486086148,3.3485532558519715,16.105348082148197,6.542088624078059,8.800109155204854,9.563259458070137,True,True,2.476473556346498,11.872918362750324
ddpg1931_auction_only,ddpg,1931,synthetic_rough_heston,,150,64,128,2.349421293093462,2.175815658449765,2.175815658449765,150,0.17360563464369694,2.955173678598827,3.3171574225398572,0.1837346402312154,1.4411029528906574,1.309851711508398,3.1791342226802475,0.13125124138225927,True,True,5.390561213418998,10.91865761133117
ddpg1931_clob_only,ddpg,1931,synthetic_rough_heston,,150,64,128,2.349421293093462,2.267292954098078,2.267292954098078,150,0.08212833899538374,2.9454347674238464,3.290519689424511,0.15633877990614736,1.417684997781506,0.9537117449617776,3.165606391666471,0.463973252819731,True,True,5.380822302244018,10.90891870015619
ddpg1931_economic_dense,ddpg,1931,synthetic_rough_heston,,150,64,128,2.349421293093462,1.641413455278143,2.155692043998197,100,0.708007837815319,2.6241592839350725,3.6092106335507115,-0.12269378718327506,1.5747152520254866,-0.6313515567318954,4.096768486711681,2.2060668087573845,True,True,5.059546818755244,10.587643216667416
ddpg1931_economic_sparse,ddpg,1931,synthetic_rough_heston,,150,64,128,2.349421293093462,0.04612609125276995,2.7326551591344437,99,2.686529067881674,3.5227339682597174,3.9184662656318716,0.2304685284866649,2.355723785293205,1.759542331571541,2.9751911509235276,0.5961814537216649,True,True,5.958121503079888,11.486217900992061
ddpg1931_feature_off,ddpg,1931,synthetic_rough_heston,,150,64,128,2.314490270474022,2.2849408400149462,2.3576115321216555,100,0.07267069210670929,1.805278296210955,4.460801979855096,-0.9725424356027946,1.8066639070031396,-2.959943395120625,7.600384562709248,4.766607302123763,True,True,4.240665831031126,9.768762228943299
ddpg1931_full,ddpg,1931,synthetic_rough_heston,,150,64,128,2.349421293093462,1.8863825118737472,1.8863825118737472,150,0.46303878121971476,2.5705711896145704,2.7523148586429422,-0.12872291559460447,1.1287735353779067,1.2253740915026616,2.256957031626526,-0.09660055612475578,True,True,5.00595872443474,10.534055122346913
ddpg1931_indicative,ddpg,1931,synthetic_rough_heston,,150,64,128,2.5863287891089115,1.9941330304360116,2.6153122624369463,100,0.6211792320009346,2.9828179946946713,3.204022803491191,0.1385524638949157,1.6600542891888836,1.1404909426274392,1.8914787010283027,0.5195633465614459,True,True,5.418205529514841,10.946301927427015
ddpg1931_raw_forecast,ddpg,1931,synthetic_rough_heston,,150,64,128,2.3717946510214505,2.203998842998119,2.9750205766989373,100,0.7710217337008181,2.1900535599684483,3.218531389021458,0.5182276305052453,5.438182475211612,4.562183412362664,5.730731283029843,0.8759990628489474,True,True,4.62544109478862,10.153537492700792
dqn1931_auction_only,dqn,1931,synthetic_rough_heston,,150,64,128,-57.76133684811559,3.3450757540417233,3.9007788709593223,100,0.555703116917599,2.7551366066055474,4.816964791138005,0.39392223403911253,3.951293318077454,5.597699291823648,11.352325106521274,-1.6464059737461936,True,True,5.190524141425718,10.718620539337891
dqn1931_clob_only,dqn,1931,synthetic_rough_heston,,150,64,128,-57.76133684811559,3.6658261223455137,4.1374227583859025,100,0.4715966360403887,3.893692749307354,5.124504039792626,0.44146448315937753,2.6198927113595514,2.827328438874697,7.856143195709818,-0.20743572751514286,True,True,6.329080284127524,11.857176682039698
dqn1931_economic_dense,dqn,1931,synthetic_rough_heston,,150,64,128,-57.76133684811559,2.9035526356455073,2.9035526356455073,150,0.0,2.6191767635385537,3.9809753242797132,0.19950652723498827,2.5126684017585097,4.805370250239552,8.547269148376142,-2.2927018484810393,True,True,5.054564298358724,10.582660696270896
dqn1931_economic_sparse,dqn,1931,synthetic_rough_heston,,150,64,128,-57.76133684811559,4.495322557386302,4.495322557386302,150,0.0,3.8589162089270848,6.435275801985291,0.46139668611931284,5.97641233180019,2.649995425201442,9.1017708246974,3.3264169065987477,True,True,6.294303743747255,11.822400141659429
dqn1931_feature_off,dqn,1931,synthetic_rough_heston,,150,64,128,-63.46292652004905,4.3126239559016675,4.3126239559016675,150,0.0,2.969331248429775,3.6373853624167998,0.6809014662192002,1.97101376783217,1.623739422602858,5.73688316054523,0.34727434522931366,True,True,5.404718783249945,10.932815181162118
dqn1931_full,dqn,1931,synthetic_rough_heston,,150,64,128,-57.76133684811559,3.4165029767606945,4.248448936313377,100,0.8319459595526824,4.062455579724881,5.842946410811731,0.39125764888831027,4.053575358187873,4.487080906558739,9.834278474926405,-0.4335055483708645,True,True,6.497843114545052,12.025939512457224
dqn1931_indicative,dqn,1931,synthetic_rough_heston,,150,64,128,-57.29790758157584,3.770744446325955,3.770744446325955,150,0.0,3.8611152636890744,4.868501370741395,-0.09400618214914515,4.992693169633791,5.324762242529111,6.3121934027497995,-0.33206907289532034,True,True,6.296502798509243,11.824599196421417
dqn1931_raw_forecast,dqn,1931,synthetic_rough_heston,,150,64,128,-56.946268892564646,3.841876595304707,3.841876595304707,150,0.0,2.5250731740538574,4.565160014499557,0.4165612211444366,5.282627078687115,5.493493562068222,9.658798385670417,-0.21086648338110908,True,True,4.960460708874028,10.488557106786203
historical_ddpg1987,ddpg,1987,historical_sp500_midquotes,MSFT,150,64,128,1.090101502366141,4.065172472873545,4.065172472873545,150,0.0,2.771454147419847,6.0635370160384765,3.199276872730678,18.276475890231474,12.010970189623432,12.913538378211125,6.265505700608041,True,True,1.4478295841010818,6.075179273627734
historical_dqn1987,dqn,1987,historical_sp500_midquotes,MSFT,150,64,128,-82.88396511994667,2.4717744231450487,2.4717744231450487,150,0.0,2.285078501424602,4.177697621560435,0.24122380436550198,9.08957056164014,8.473067403657115,9.442277613954236,0.6165031579830254,True,True,0.9614539381058367,5.588803627632489
historical_sac1987,sac,1987,historical_sp500_midquotes,MSFT,150,64,128,0.6885926980600319,1.5182618621816744,1.9705363347427913,100,0.45227447256111697,1.9184850212815494,3.2096678605794517,1.3334726350672186,8.171340620127788,5.806971986029291,7.5761928361640924,2.3643686340984953,True,True,0.5948604579627846,5.222210147489436
historical_td31987,td3,1987,historical_sp500_midquotes,MSFT,150,64,128,0.8905576289179896,4.210146099682693,4.710374817314417,99,0.5002287176317237,3.8124937067737448,6.9872105503308015,4.815342730290904,23.082601341972797,12.54595463928453,12.9666495834425,10.536646702688264,True,True,2.4888691434549797,7.11621883298163
synthetic1907_ln,ddpg,1907,synthetic_rough_heston,,200,64,128,-5.7631815297675955,-5.4858443313641825,-4.710915762386351,150,0.7749285689778311,5.997642391466062,7.898068459478231,1.7171721943704568,12.073526944883938,8.452411897843337,8.816148994411073,3.6211150470406013,True,True,1.4917886553246857,9.245820123682986
synthetic1907_v18,ddpg,1907,synthetic_rough_heston,,200,64,128,-5.7631815297675955,-4.899679376397513,-4.032178547425671,150,0.867500828971842,5.239691150939674,7.76575253308161,1.7127289236430436,13.583155417708378,9.220810265969765,10.49429258784637,4.362345151738613,True,True,0.7338374147982974,8.487868883156597
