run,setting,market,algorithm,seed,episodes,selected_episode,initial,selected,last,selected_gain,last_gain,selected_to_last,clob_max_loss,auction_max_loss,clob_last_loss,auction_last_loss
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/sac_seed811,synthetic_rough_heston,Synthetic,sac,811,800,750,0.1718710499284346,1.427925913896413,1.2151176690377747,1.2560548639679785,1.0432466191093401,0.21280824485863836,7.507150556983017,0.4891592318813006,3.7444106887656408,0.10309997679044798
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/sac_seed99,synthetic_rough_heston,Synthetic,sac,99,650,450,0.19879631881909,3.5786012177918667,3.537646720509819,3.3798048989727767,3.338850401690729,0.0409544972820477,14.159322049882675,0.8364846557378768,2.318447628752847,0.07393786889811352
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed123,synthetic_rough_heston,Synthetic,td3,123,650,450,5.887843569180951,8.065406442089825,7.782787156024233,2.177562872908874,1.894943586843282,0.28261928606559206,21.142648870294742,3.1748753612240157,4.923930501719695,0.30228285461167487
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed1618,synthetic_rough_heston,Synthetic,td3,1618,800,750,-0.6135139394528395,4.134893863548567,3.981805088174045,4.748407803001406,4.595319027626885,0.1530887753745218,35.490472248622346,2.8946066975593565,4.860394376574231,0.12359359231467044
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed2024,synthetic_rough_heston,Synthetic,td3,2024,800,800,-1.3659934629385075,2.198722618214792,2.198722618214792,3.5647160811532994,3.5647160811532994,0.0,21.200143530562116,1.2164094010988873,6.058408655672743,0.36890002548446255
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed2718,synthetic_rough_heston,Synthetic,td3,2718,250,99,2.379394182375419,4.5373347875513055,4.13236033740474,2.1579406051758863,1.7529661550293207,0.4049744501465655,16.41076539283575,0.6489527828991412,7.620773937004601,0.1339065727603932
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed314,synthetic_rough_heston,Synthetic,td3,314,800,750,6.637859111341827,6.797207088043399,6.293810753945457,0.15934797670157153,-0.3440483573963702,0.5033963340979417,18.29680631471717,1.5430862724781036,4.411500071848417,0.18005300307646388
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed42,synthetic_rough_heston,Synthetic,td3,42,350,150,-2.232431246762873,1.221191178599676,0.8701894401609062,3.453622425362549,3.102620686923779,0.3510017384387699,19.26355587111579,3.598508314291636,6.650549025527319,0.47550571130712826
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed577,synthetic_rough_heston,Synthetic,td3,577,800,750,6.215840827396212,8.773649538569456,8.682447927246798,2.5578087111732444,2.4666070998505862,0.09120161132265814,23.393644601870808,6.39243266582489,4.376608370416901,0.2768284408201773
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed7,synthetic_rough_heston,Synthetic,td3,7,700,500,1.5629498040345597,4.008261069980447,3.8536332775889983,2.4453112659458878,2.290683473554439,0.15462779239144897,17.8167004252589,0.3787798176209131,4.421473616413109,0.1456889795971413
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed811,synthetic_rough_heston,Synthetic,td3,811,400,200,-0.5396483914207673,1.5243842660920728,1.5170599160449518,2.06403265751284,2.056708307465719,0.007324350047120953,15.10615911716368,1.0018955190976462,7.043277850447408,0.3538541829660534
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston/td3_seed99,synthetic_rough_heston,Synthetic,td3,99,800,700,0.1912520413568064,4.682332240932067,4.607431622265395,4.4910801995752605,4.416179580908588,0.07490061866667208,28.210726059807673,1.6715601106484732,6.506082501623663,0.2685475297023852
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed123,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,123,800,800,6.081532629053939,7.98690400203352,7.98690400203352,1.9053713729795811,1.9053713729795811,0.0,9.755692958831789,1.8701589037974675,2.4666740747345743,0.19025756613165135
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed1618,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,1618,450,250,0.26430339554039095,3.5610261409969945,3.147778988271793,3.2967227454566035,2.883475592731402,0.4132471527252015,16.757655947549,1.195556146899859,3.09294330535606,0.19854164626200987
