phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
clob,0.11591483335068381,0.13321946441390453,0.02895666126435767,0.03323037350834291,dqn,CAT,811
auction,0.03340245539637767,0.11559999999999843,0.002421807463820774,0.022731999999999614,dqn,CAT,99
clob,0.11128729682483446,0.12842111942111364,0.026314736885945357,0.03111192995340798,dqn,CAT,99
auction,0.02829223908923504,0.10340000000000042,0.0025427491398418763,0.017728000000000223,dqn,GOOGL,123
clob,0.0781536148675531,0.09745985344208595,0.01348903154575038,0.017732099120635166,dqn,GOOGL,123
auction,0.025035827113417605,0.10120000000000072,0.001434519155556123,0.015086000000000164,dqn,GOOGL,1618
clob,0.07498574528774364,0.09383198892556005,0.010348034181052172,0.01484099901352173,dqn,GOOGL,1618
auction,0.03262161180999161,0.1128000000000014,0.0035751635922177697,0.021048000000000382,dqn,GOOGL,2024
clob,0.0935587795742509,0.11095942675807116,0.01890445244891411,0.02278178496397799,dqn,GOOGL,2024
auction,0.026161738173467168,0.12050000000000093,0.0017326015534745425,0.023327000000000323,dqn,GOOGL,2718
clob,0.08422067127734097,0.10330769113750397,0.012880981496084349,0.01822947173364399,dqn,GOOGL,2718
auction,0.023823029668352227,0.09130000000000106,0.0012109408274109624,0.014655000000000298,dqn,GOOGL,314
clob,0.07550327128827819,0.09549288187890817,0.01020352610599342,0.015328517342934849,dqn,GOOGL,314
auction,0.02417268182771821,0.09020000000000049,0.00140605412484753,0.012274000000000052,dqn,GOOGL,42
clob,0.08042535695460566,0.09722268426046203,0.013443401374100595,0.017574303334236548,dqn,GOOGL,42
auction,0.02739746315244624,0.09830000000000066,0.0029295053450113973,0.01569100000000018,dqn,GOOGL,577
clob,0.0747116121296005,0.09309794787477857,0.010518372988355246,0.014723111216584166,dqn,GOOGL,577
auction,0.026113333051259516,0.10420000000000097,0.00283933359016878,0.015952000000000337,dqn,GOOGL,7
clob,0.07352903260102103,0.09206002212134502,0.009807567747395617,0.014208701726548345,dqn,GOOGL,7
auction,0.02639582397855527,0.10200000000000127,0.002204774244951928,0.018140000000000385,dqn,GOOGL,811
clob,0.08530404295309359,0.10437384999856773,0.01573422486261912,0.020405609603054504,dqn,GOOGL,811
auction,0.027589300706699533,0.10580000000000066,0.0016330132577387672,0.018838000000000146,dqn,GOOGL,99
clob,0.08073363567968103,0.09902567700181004,0.012319380785492799,0.016910902405201336,dqn,GOOGL,99
auction,0.03378983088547652,0.14800000000000163,0.003350123830377516,0.02912800000000065,dqn,JPM,123
clob,0.11286768825226788,0.12940626629588922,0.02412966085028399,0.028209241850595076,dqn,JPM,123
auction,0.03382213845649355,0.1414000000000011,0.0023768893451930175,0.026678000000000524,dqn,JPM,1618
clob,0.11509356517145308,0.13214378848303654,0.023931969252263707,0.028061700990845817,dqn,JPM,1618
auction,0.03967709587229021,0.13710000000000047,0.0038924590270662325,0.027901000000000224,dqn,JPM,2024
clob,0.12637283457009227,0.1411998985595695,0.031081187977493513,0.03426353183598704,dqn,JPM,2024
auction,0.03581041300787921,0.16240000000000163,0.0026626522803597304,0.035782000000000626,dqn,JPM,2718
clob,0.11473888519310911,0.1378613758805191,0.023256725968688333,0.029666512006566927,dqn,JPM,2718
auction,0.03173221312988031,0.14370000000000144,0.0020571552151309575,0.027823000000000642,dqn,JPM,314
clob,0.11006629143715838,0.12981470286198687,0.022417994397870244,0.027133981755408126,dqn,JPM,314
auction,0.03251898748846056,0.14490000000000133,0.0022865516330331914,0.025685000000000614,dqn,JPM,42
clob,0.11623419819924954,0.1335972624456472,0.024425630843024272,0.028970618029089318,dqn,JPM,42
auction,0.03530026071951471,0.14450000000000127,0.003973705275825932,0.02815900000000052,dqn,JPM,577
clob,0.11497711811824064,0.13037793340885603,0.024695253151023687,0.028277413856567565,dqn,JPM,577
auction,0.03350938723916602,0.1514000000000004,0.0031160161327886656,0.031660000000000396,dqn,JPM,7
clob,0.1120149925603521,0.13275642767434545,0.022030813327300173,0.027690565287707608,dqn,JPM,7
auction,0.03477292932857514,0.1570000000000017,0.0031213880103074156,0.03264000000000076,dqn,JPM,811
clob,0.13378354571412532,0.1506762817414254,0.035263440346717495,0.03878060405463391,dqn,JPM,811
