phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.03507375355067783,0.1553000000000017,0.0024296192968197476,0.03073300000000082,dqn,JPM,99
clob,0.11420459279340697,0.13369847108088467,0.02316888494732494,0.028583351660452273,dqn,JPM,99
auction,0.03876449556095265,0.1716000000000005,0.0034433673697032096,0.0393779999999998,dqn,MSFT,123
clob,0.11942749442572985,0.14105551332421293,0.030783165491306788,0.03882217284491381,dqn,MSFT,123
auction,0.03659874466300564,0.169,0.0032761822402861867,0.03788399999999971,dqn,MSFT,1618
clob,0.1276873101105968,0.14874665522735056,0.03372443053333273,0.04174530683975917,dqn,MSFT,1618
auction,0.03943559149213214,0.15610000000000068,0.0046569570092527815,0.03539499999999968,dqn,MSFT,2024
clob,0.1222681119769069,0.142734269728251,0.031962683225483415,0.03981185745826528,dqn,MSFT,2024
auction,0.0435415301853315,0.1610000000000019,0.004918534589147462,0.03501200000000036,dqn,MSFT,2718
clob,0.13352139372542576,0.1569783551082157,0.03706557877076502,0.0472878851854178,dqn,MSFT,2718
auction,0.041902147582465805,0.14620000000000044,0.005117766849841692,0.030903999999999696,dqn,MSFT,314
clob,0.12157104275855593,0.14347607777122262,0.03092048508466895,0.039738422432801845,dqn,MSFT,314
auction,0.042841317358790196,0.15820000000000017,0.004418839850307421,0.034473999999999484,dqn,MSFT,42
clob,0.12113691544111398,0.14263337426591463,0.030971595911720384,0.039773463501247434,dqn,MSFT,42
auction,0.03581174561815756,0.1706000000000007,0.00439761282165702,0.0404039999999998,dqn,MSFT,577
clob,0.11604980765555853,0.1397388383221764,0.030206346491793438,0.03905109924265421,dqn,MSFT,577
auction,0.0503367231383238,0.1463000000000002,0.0071736116960536755,0.031582999999999715,dqn,MSFT,7
clob,0.13943556428147116,0.16039990165414017,0.04306174179686837,0.052527387248032194,dqn,MSFT,7
auction,0.04354393950653445,0.1495000000000004,0.005438498921711915,0.03187699999999974,dqn,MSFT,811
clob,0.14362095879651185,0.1617051503596068,0.043114260641802155,0.051868733914542976,dqn,MSFT,811
auction,0.03871948978655468,0.1624000000000005,0.0031640493940725926,0.03729199999999977,dqn,MSFT,99
clob,0.12536898586686912,0.1474105608859545,0.03349199427546101,0.04146841028307092,dqn,MSFT,99
auction,0.021976673946664763,0.10169999999999955,0.0010464042899348829,0.01454099999999989,dqn,PG,123
clob,0.07174854878594208,0.08288380143829534,0.011334139015427269,0.01296275069837079,dqn,PG,123
auction,0.021485492608518782,0.10399999999999875,0.0010337112175357848,0.014645999999999666,dqn,PG,1618
clob,0.0720987484182352,0.08389703583566613,0.010357305324414291,0.012239552809233918,dqn,PG,1618
auction,0.027469777263827485,0.09720000000000038,0.00213198022463399,0.014383999999999935,dqn,PG,2024
clob,0.08504734860808175,0.09581205463253928,0.016769321188302693,0.018330963796661947,dqn,PG,2024
auction,0.023406519122986285,0.11140000000000082,0.0012211990949162952,0.017910000000000197,dqn,PG,2718
clob,0.07823671214458378,0.09104971526695652,0.01199108045469009,0.014539382496695537,dqn,PG,2718
auction,0.023202544084473645,0.09229999999999944,0.0011908915463433145,0.013158999999999883,dqn,PG,314
clob,0.07373725651754279,0.08474231634757981,0.011310880300437094,0.013074835484430938,dqn,PG,314
auction,0.022945578182436303,0.08819999999999947,0.0013038426283998993,0.010931999999999822,dqn,PG,42
clob,0.07524810647313081,0.08670034107425244,0.011636807098054935,0.013900421374228235,dqn,PG,42
auction,0.019983577293097264,0.09869999999999944,0.000828696049283087,0.013520999999999877,dqn,PG,577
clob,0.07348507500332552,0.08363839333522835,0.01164522995208538,0.013084141786611693,dqn,PG,577
auction,0.0247604604491096,0.08460000000000005,0.0021818782007177085,0.01045199999999994,dqn,PG,7
clob,0.07051884861104597,0.08134434097254348,0.009832381339185493,0.011891559568614613,dqn,PG,7
auction,0.023612758251273992,0.10210000000000033,0.0012726586009334318,0.014786999999999885,dqn,PG,811
clob,0.08473467988498598,0.09473840743292693,0.015691409453183706,0.017184476939268757,dqn,PG,811
auction,0.022845335335233218,0.08750000000000054,0.0010648444929721808,0.011391000000000075,dqn,PG,99
clob,0.07166033293184004,0.08283225672402067,0.010265997110409758,0.012074229638644811,dqn,PG,99
auction,0.03180706060125757,0.10509999999999887,0.0023084515124794872,0.020812999999999575,sac,CAT,123
clob,0.10614865134289875,0.1274224788160113,0.025993837424922225,0.03128720589541564,sac,CAT,123
auction,0.0312855093779311,0.11449999999999885,0.0020667782502582195,0.022570999999999546,sac,CAT,1618
clob,0.11023005165404767,0.12942391742235956,0.02633072370037546,0.031377850974261316,sac,CAT,1618
