algo,seed,headline_bps,economic_dense_bps,difference_bps,pnl_bps,penalty_bps,auction_bps,open_inventory,close_inventory,episodes,selected_episode,initial_val,selected_val,final_val,late_clob_loss,late_auction_loss
dqn,2024,0.18913358007976921,1.1208417328556484,-0.9317081527758788,2.2287406811107764,1.1078989482551276,0.3734985625764649,6.1177265263093945,5.78948075781818,350,149,-44.178932578577,0.36403026944989225,-0.1885621368565755,2.059469725744437,0.10344358465323841
dqn,2718,-1.7304080729221745,-1.2329007973593724,-0.49750727556280255,-0.5964490890273398,0.6364517083320319,0.09003645435395813,4.967432007637962,4.817976027074865,400,199,-12.364833267304796,5.1861071132807695,4.999865184485881,3.62653918250611,2.0682619385421277
sac,7,3.6977011494154617,3.1702885174381357,0.5274126319773259,3.8107111641185263,0.6404226466803913,0.6479074188539348,4.6365124981398225,5.161905196268846,650,449,1.6561085722606839,4.627054927495263,4.041813985353498,2.2518201159631337,0.1515221708764632
sac,42,3.861070320340973,4.382890999505424,-0.5218206791644507,4.7267698247191525,0.34387882521372876,0.6473330708811126,5.079499753372931,3.3028487708366923,800,749,-1.482879334624566,0.8357081349721946,0.7282627583145374,2.5488484679867804,0.10676961660695569
sac,99,8.386240085436622,9.041661578137122,-0.6554214927005,9.910328327223194,0.8686667490860728,0.16385728656518164,4.914479352331203,6.227610824284891,650,449,0.19879631881909,4.050642291475534,3.8930502704833216,1.9399946455994437,0.0486733706668019
sac,123,5.093620492956987,6.446840799369518,-1.3532203064125299,7.306431017752567,0.8595902183830486,0.7146146524625766,5.264862297443074,5.1589885431836775,800,799,5.215820377652249,7.980424564575421,7.98042456457542,2.374198279037431,0.15346955709780252
sac,314,7.305299256601326,6.979806051490105,0.32549320511122004,7.224097840367996,0.24429178887789074,0.166056204993968,1.592420897040469,2.933804821427642,800,599,7.0802997840024595,7.574355608970273,6.981954855328416,3.1977695873409413,0.0938636178305993
sac,577,3.767921886416985,3.52449596585488,0.24342592056210552,4.122960669367218,0.5984647035123393,0.46559230734759566,4.074706061090518,4.414788042274003,800,699,6.084582036622846,8.841444479963911,8.70405695880646,2.3438960037953116,0.4335336719950039
sac,811,0.6218303894203102,1.2495473217300233,-0.6277169323097124,2.376439294600573,1.1268919728705489,0.6283132647692105,5.021667755002681,7.03496540519364,800,749,0.1718710499284346,1.8020229786631408,1.4716038906197513,3.258926058033376,0.0754572579326728
sac,1618,4.742179005580703,5.10082084696752,-0.35864184138681615,5.228327448650092,0.12750660168257408,-0.06113550731098715,1.3213325964851312,2.0855855162220327,800,699,-0.8571700650724288,3.053683917723669,2.969381638830953,2.6702822894761056,0.0533532409152636
sac,2024,3.6415695268473574,3.4076003603468052,0.23396916650055335,3.9434827184090193,0.5358823580622151,0.8760710055402119,5.239246356672511,5.447435319422506,800,799,-0.5600733982201636,2.5458193924345247,2.5458193924345247,1.3402325957209154,0.0790849002078175
sac,2718,-1.915893551504708,-2.100600556992464,0.18470700548775743,-1.213184962839249,0.8874155941532151,0.3809668974175216,4.612847465869838,5.636115612971318,800,649,3.6359426390328826,5.155725231248455,4.951512694671109,2.8372098934602206,0.0695357120595872
td3,7,1.8464688994027827,2.5887947821407558,-0.742325882737973,3.1651327750848566,0.5763379929441015,0.39056749681486613,2.126925068917166,4.704341284515033,800,799,1.5629498040345597,4.140613786020493,4.140613786020493,4.646171563022488,0.1555265437190731
td3,42,4.71744604556345,4.443834000667959,0.2736120448954914,4.6383282310623875,0.1944942303944286,0.28973905883390416,2.6219955747602968,2.677439041315148,350,149,-2.232431246762873,1.0222947501370794,0.8955620922051806,6.874275757869085,0.44875366501510133
td3,99,9.242174904529996,9.47384541617771,-0.23167051164771346,10.266395013905408,0.7925495977276984,0.3775908578059877,5.3752523559362455,6.221171160795206,800,749,0.1912520413568064,4.504051761844499,4.372321539364545,6.796229870695816,0.2823340618362029
td3,123,6.846358198425329,6.926762290808511,-0.08040409238318225,7.616037419154911,0.6892751283464008,1.0980725964308875,4.992629304445393,6.04610833580361,800,799,5.887843569180951,8.509662612060085,8.509662612060085,4.269262099169135,0.1718991667653123
td3,314,6.427432317501345,5.336062843506983,1.0913694739943616,5.480980592751439,0.14491774924445486,0.23318983766642812,1.429649868246899,2.3399062841467453,400,199,6.637859111341827,5.838493347411817,5.462110708441618,5.346221200823784,0.20894241249188775
td3,577,4.102435677103276,3.987606366495836,0.11482931060744132,4.458566431243901,0.4709600647480656,0.5995873836236818,5.653091111165664,4.173698634663291,800,799,6.215840827396212,8.807723119994703,8.807723119994703,4.517955937297829,0.23663890684644373
td3,811,0.41903398899735045,0.22288969154202903,0.19614429745531958,1.4701058888386696,1.247216197296639,1.2117845470966515,9.429182328612635,5.559237741495845,400,199,-0.5396483914207673,1.5223636404884477,1.1380722021521177,7.213319305307376,0.40728944316506377
td3,1618,5.667994046071908,5.190723982370725,0.4772700637011819,5.348969074756798,0.15824509238607506,0.020444101206614027,1.265662286215558,2.2741075075745827,800,749,-0.6135139394528395,3.756859044962013,3.668044568683319,4.954445517761803,0.0943674753575275
td3,2024,3.463607657705003,2.6963893326350337,0.7672183250699689,3.8507558205927497,1.1543664879577165,0.6145814376443994,7.021544727851079,7.512719002352318,800,799,-1.3659934629385075,2.1343133095125624,2.1343133095125624,4.429522944859096,0.11482572412739195
td3,2718,-2.057304466790294,-2.075397887064026,0.01809342027373137,-1.8497699905615628,0.2256278965024631,0.08308211984061206,0.9169293431830399,3.408296012386572,250,98,2.379394182375419,4.370159941681118,3.896209012214792,8.427217556273236,0.12184771051009491
