Datetime,CAT,PG,GOOGL,JPM,MSFT
2026-08-10 13:30:00-04:00,838.9549999999999,145.81,354.725,357.395,508.315
2026-08-10 13:31:00-04:00,838.97,145.89,354.77,357.305,508.58
2026-08-10 13:32:00-04:00,839.04,145.89,354.775,357.32000000000005,508.4
2026-08-10 13:33:00-04:00,839.14,145.85000000000002,354.825,357.41499999999996,508.28999999999996
2026-08-10 13:34:00-04:00,839.1600000000001,145.76999999999998,354.735,357.41499999999996,508.25
2026-08-10 13:35:00-04:00,839.69,145.78500000000003,354.65999999999997,357.42499999999995,508.35
2026-08-10 13:36:00-04:00,839.21,145.85500000000002,354.75,357.335,508.325
2026-08-10 13:37:00-04:00,839.29,145.82999999999998,354.805,357.45500000000004,508.29999999999995
2026-08-10 13:38:00-04:00,837.685,145.875,354.86,357.385,508.36
2026-08-10 13:39:00-04:00,837.775,145.84,354.78,357.53999999999996,508.29499999999996
2026-08-10 13:40:00-04:00,838.67,145.85000000000002,354.755,357.635,508.28499999999997
2026-08-10 13:41:00-04:00,838.49,145.86,354.47,357.555,507.92
2026-08-10 13:42:00-04:00,838.69,145.82999999999998,354.4,357.64,507.92
2026-08-10 13:43:00-04:00,838.69,145.825,354.52,357.695,507.78
2026-08-10 13:44:00-04:00,838.675,145.79500000000002,354.605,357.62,507.515
2026-08-10 13:45:00-04:00,838.365,145.81,354.45500000000004,357.65999999999997,507.115
2026-08-10 13:46:00-04:00,838.415,145.78,354.425,357.61,506.91499999999996
2026-08-10 13:47:00-04:00,838.8900000000001,145.79500000000002,354.575,357.8,506.87
2026-08-10 13:48:00-04:00,839.24,145.81,354.53999999999996,357.865,506.755
2026-08-10 13:49:00-04:00,839.44,145.82,354.515,357.80499999999995,506.82
2026-08-10 13:50:00-04:00,839.9449999999999,145.85000000000002,354.45500000000004,357.86,506.71500000000003
2026-08-10 13:51:00-04:00,840.125,145.815,354.275,357.79499999999996,506.34000000000003
2026-08-10 13:52:00-04:00,840.0999999999999,145.805,354.22,357.70500000000004,506.075
2026-08-10 13:53:00-04:00,840.415,145.8,354.175,357.74,506.125
2026-08-10 13:54:00-04:00,841.24,145.75,354.105,357.605,505.83
2026-08-10 13:55:00-04:00,841.36,145.79500000000002,354.105,357.63,506.075
2026-08-10 13:56:00-04:00,841.3399999999999,145.81,354.06,357.57500000000005,505.935
2026-08-10 13:57:00-04:00,841.27,145.78,354.08500000000004,357.53,506.19
2026-08-10 13:58:00-04:00,841.37,145.84500000000003,354.015,357.515,506.25
2026-08-10 13:59:00-04:00,841.69,145.82,354.19,357.435,506.225
2026-08-10 14:00:00-04:00,841.505,145.865,354.235,357.6,505.66499999999996
2026-08-10 14:01:00-04:00,841.895,145.86,354.24,357.635,505.22
2026-08-10 14:02:00-04:00,841.4000000000001,145.85500000000002,354.29999999999995,357.67499999999995,505.32
2026-08-10 14:03:00-04:00,841.61,145.925,354.21500000000003,357.655,505.35
2026-08-10 14:04:00-04:00,841.61,145.89999999999998,354.19,357.70000000000005,505.20000000000005
2026-08-10 14:05:00-04:00,841.76,145.89499999999998,354.23,357.70000000000005,505.325
2026-08-10 14:06:00-04:00,842.01,145.83499999999998,354.185,357.88,505.25
2026-08-10 14:07:00-04:00,841.515,145.88,354.43,357.82,505.21000000000004
2026-08-10 14:08:00-04:00,841.7750000000001,145.94,354.345,357.78999999999996,505.29999999999995
2026-08-10 14:09:00-04:00,841.6600000000001,145.935,354.35,357.80499999999995,505.28499999999997
2026-08-10 14:10:00-04:00,841.5699999999999,145.92000000000002,354.33500000000004,357.855,505.39
2026-08-10 14:11:00-04:00,841.5799999999999,145.935,354.28499999999997,358.015,505.07000000000005
2026-08-10 14:12:00-04:00,840.605,145.925,354.42499999999995,358.04999999999995,505.135
2026-08-10 14:13:00-04:00,839.9549999999999,145.965,354.43,358.025,504.94000000000005
2026-08-10 14:14:00-04:00,839.4849999999999,145.97,354.32,357.96000000000004,504.98
2026-08-10 14:15:00-04:00,839.0450000000001,146.03,354.385,357.94,504.78999999999996
2026-08-10 14:16:00-04:00,839.4649999999999,145.995,354.275,358.17,504.71000000000004
2026-08-10 14:17:00-04:00,839.425,146.01,354.235,358.135,505.18
2026-08-10 14:18:00-04:00,839.5050000000001,145.97,354.125,358.13,505.255
2026-08-10 14:19:00-04:00,839.47,145.995,354.075,357.96,505.595
2026-08-10 14:20:00-04:00,839.46,145.99,354.03499999999997,358.005,505.525
2026-08-10 14:21:00-04:00,839.4649999999999,145.99,354.06,357.94,505.385
2026-08-10 14:22:00-04:00,839.31,146.01999999999998,354.175,358.09000000000003,505.41999999999996
2026-08-10 14:23:00-04:00,839.6800000000001,146.015,354.22,358.025,505.1
2026-08-10 14:24:00-04:00,839.885,146.0,354.33000000000004,358.03499999999997,504.96500000000003
2026-08-10 14:25:00-04:00,839.64,146.035,354.235,358.08000000000004,504.91999999999996
2026-08-10 14:26:00-04:00,839.985,145.995,354.365,358.0,505.255
2026-08-10 14:27:00-04:00,840.0350000000001,146.02499999999998,354.33500000000004,358.04999999999995,505.21500000000003
2026-08-10 14:28:00-04:00,839.745,146.035,354.48,358.135,505.23
2026-08-10 14:29:00-04:00,839.775,145.995,354.405,358.145,505.145
2026-08-10 14:30:00-04:00,839.645,145.995,354.36,358.05499999999995,505.025
2026-08-10 14:31:00-04:00,839.69,145.925,354.29999999999995,357.91499999999996,505.025
2026-08-10 14:32:00-04:00,840.0250000000001,145.95999999999998,354.51,357.855,505.125
2026-08-10 14:33:00-04:00,839.915,145.95,354.54499999999996,357.72,505.315
2026-08-10 14:34:00-04:00,839.7,145.995,354.45,357.69500000000005,505.525
2026-08-10 14:35:00-04:00,839.845,145.93,354.46000000000004,357.655,505.44500000000005
2026-08-10 14:36:00-04:00,840.22,145.975,354.54499999999996,357.685,505.6
2026-08-10 14:37:00-04:00,840.12,145.98000000000002,354.6,357.69000000000005,505.46000000000004
2026-08-10 14:38:00-04:00,839.575,145.985,354.58000000000004,357.57000000000005,505.105
2026-08-10 14:39:00-04:00,839.88,146.0,354.515,357.70500000000004,505.03
2026-08-10 14:40:00-04:00,840.295,145.98000000000002,354.605,357.775,505.14
2026-08-10 14:41:00-04:00,840.415,145.93,354.825,357.80499999999995,505.365
2026-08-10 14:42:00-04:00,840.4200000000001,145.91,354.865,357.88,505.355
2026-08-10 14:43:00-04:00,840.5450000000001,145.95499999999998,355.27,358.04499999999996,505.71000000000004
2026-08-10 14:44:00-04:00,840.255,145.97500000000002,355.33000000000004,357.995,505.67499999999995
2026-08-10 14:45:00-04:00,840.255,145.98000000000002,355.66499999999996,358.0,505.66999999999996
2026-08-10 14:46:00-04:00,840.2850000000001,145.935,355.885,357.97,505.55
2026-08-10 14:47:00-04:00,840.28,145.95999999999998,356.04499999999996,358.135,505.45000000000005
2026-08-10 14:48:00-04:00,840.51,145.945,355.86,358.18,505.405
2026-08-10 14:49:00-04:00,840.8499999999999,145.95999999999998,355.85,358.19,505.33
2026-08-10 14:50:00-04:00,840.385,145.95999999999998,355.655,358.12,505.615
2026-08-10 14:51:00-04:00,840.2,145.95999999999998,355.79999999999995,358.16499999999996,505.66999999999996
2026-08-10 14:52:00-04:00,840.0799999999999,145.97,355.94500000000005,358.28999999999996,505.71500000000003
2026-08-10 14:53:00-04:00,840.0550000000001,145.94,356.11,358.38,506.02
2026-08-10 14:54:00-04:00,840.155,145.92000000000002,356.015,358.385,505.96000000000004
2026-08-10 14:55:00-04:00,840.31,145.925,356.08500000000004,358.305,505.96000000000004
2026-08-10 14:56:00-04:00,840.23,145.94,356.1,358.37,506.01
2026-08-10 14:57:00-04:00,840.6500000000001,145.91,356.115,358.435,505.94
2026-08-10 14:58:00-04:00,840.315,145.89499999999998,356.135,358.41499999999996,505.995
2026-08-10 14:59:00-04:00,840.385,145.925,356.12,358.41999999999996,505.905
2026-08-10 15:00:00-04:00,840.31,145.82,355.95500000000004,358.34000000000003,506.33000000000004
2026-08-10 15:01:00-04:00,839.7950000000001,145.7,356.05,358.265,506.03999999999996
2026-08-10 15:02:00-04:00,840.0999999999999,145.69,356.115,358.28499999999997,505.985
2026-08-10 15:03:00-04:00,839.93,145.695,356.04499999999996,358.26,505.985
2026-08-10 15:04:00-04:00,840.05,145.64,356.115,358.375,505.985
2026-08-10 15:05:00-04:00,840.495,145.67000000000002,355.985,358.45500000000004,505.875
2026-08-10 15:06:00-04:00,840.6800000000001,145.69,355.92499999999995,358.45000000000005,505.625
2026-08-10 15:07:00-04:00,841.0999999999999,145.735,355.975,358.385,505.39
2026-08-10 15:08:00-04:00,840.9200000000001,145.69,356.04999999999995,358.51,505.62
2026-08-10 15:09:00-04:00,840.495,145.7,356.13,358.53499999999997,505.54999999999995
2026-08-10 15:10:00-04:00,840.405,145.73000000000002,356.105,358.485,505.575
2026-08-10 15:11:00-04:00,840.265,145.745,355.975,358.49,505.6
2026-08-10 15:12:00-04:00,839.96,145.75,355.77,358.42,505.845
2026-08-10 15:13:00-04:00,839.405,145.755,355.635,358.385,505.58500000000004
2026-08-10 15:14:00-04:00,839.48,145.78500000000003,355.685,358.345,505.63
2026-08-10 15:15:00-04:00,839.6949999999999,145.74,355.63,358.345,505.655
2026-08-10 15:16:00-04:00,840.125,145.695,355.6,358.41499999999996,505.605
2026-08-10 15:17:00-04:00,840.21,145.79500000000002,355.51,358.46000000000004,505.51
2026-08-10 15:18:00-04:00,840.845,145.735,355.245,358.595,505.53
2026-08-10 15:19:00-04:00,840.7950000000001,145.74,355.315,358.595,505.52
2026-08-10 15:20:00-04:00,840.645,145.79000000000002,355.17,358.63,505.29499999999996
2026-08-10 15:21:00-04:00,840.685,145.75,355.21500000000003,358.62,505.255
2026-08-10 15:22:00-04:00,840.6500000000001,145.745,355.305,358.595,505.29999999999995
2026-08-10 15:23:00-04:00,840.5699999999999,145.79000000000002,355.325,358.67499999999995,505.19
2026-08-10 15:24:00-04:00,840.64,145.79000000000002,355.45500000000004,358.63,505.235
2026-08-10 15:25:00-04:00,840.845,145.74,355.495,358.65999999999997,504.985
2026-08-10 15:26:00-04:00,840.8199999999999,145.695,355.375,358.47,505.08500000000004
2026-08-10 15:27:00-04:00,840.465,145.60000000000002,355.355,358.44500000000005,505.03499999999997
2026-08-10 15:28:00-04:00,840.565,145.625,355.36,358.435,504.82
2026-08-10 15:29:00-04:00,840.98,145.595,355.29499999999996,358.42499999999995,504.72
2026-08-10 15:30:00-04:00,840.5899999999999,145.63,355.245,358.385,504.32500000000005
2026-08-10 15:31:00-04:00,840.4649999999999,145.615,355.14,358.2,504.73
2026-08-10 15:32:00-04:00,839.925,145.66500000000002,355.29499999999996,358.30499999999995,504.94500000000005
2026-08-10 15:33:00-04:00,839.995,145.655,355.1,358.365,504.775
2026-08-10 15:34:00-04:00,840.015,145.69,355.20500000000004,358.55999999999995,505.16499999999996
2026-08-10 15:35:00-04:00,839.6700000000001,145.68,355.03999999999996,358.69,505.23
2026-08-10 15:36:00-04:00,838.885,145.675,354.925,358.54499999999996,505.11
