market,policy,metric,mean,ci_low,ci_high,n_seeds
Synthetic,ddpg,gap_dqn_bps,-0.1586316124,-0.6537333025,0.2864079568,10
Synthetic,ddpg,gap_as_bps,2.629789045,1.70008468,3.498099963,10
Synthetic,ddpg,gap_twap_bps,9.647628914,8.71541312,10.53140152,10
Synthetic,dqn,objective_bps,4.193518609,2.758071112,5.85212865,10
Synthetic,dqn,pnl_bps,5.110230493,3.755866746,6.756490254,10
Synthetic,dqn,gap_dqn_bps,0,0,0,10
Synthetic,dqn,gap_as_bps,2.788420657,2.247496159,3.421130734,10
Synthetic,dqn,gap_twap_bps,9.806260526,8.921716201,10.59145941,10
Synthetic,sac,objective_bps,4.539085652,3.147032267,6.353354169,10
Synthetic,sac,pnl_bps,5.392406362,3.95396903,7.300457615,10
Synthetic,sac,gap_dqn_bps,0.3455670431,-0.1488373651,0.8126478551,10
Synthetic,sac,gap_as_bps,3.1339877,2.693223045,3.557080177,10
Synthetic,sac,gap_twap_bps,10.15182757,9.322022842,11.02569346,10
Synthetic,td3,objective_bps,4.40400262,2.746361047,6.254171158,10
Synthetic,td3,pnl_bps,5.278861357,3.581004918,7.149457686,10
Synthetic,td3,gap_dqn_bps,0.2104840117,-0.3304403395,0.7385903371,10
Synthetic,td3,gap_as_bps,2.998904669,2.142474178,3.922211112,10
Synthetic,td3,gap_twap_bps,10.01674454,9.109082166,10.80729271,10
Synthetic,twap,objective_bps,-5.612741917,-7.013058742,-4.100456641,10
Synthetic,twap,pnl_bps,0.3581714816,-1.08124022,1.909008684,10
Synthetic,twap,gap_dqn_bps,-9.806260526,-10.59737363,-8.932195522,10
Synthetic,twap,gap_as_bps,-7.017839869,-7.999501532,-6.050113431,10
Synthetic,twap,gap_twap_bps,0,0,0,10
