market,policy,metric,mean,ci_low,ci_high,n_seeds
Synthetic,dqn,auction_risk_relief_bps,0.1075962334,0.009331860264,0.204307677,10
Synthetic,dqn,auction_fees_bps,0.045072,0.0389039,0.050499025,10
Synthetic,dqn,open_abs_inventory_pct,5.450402885,4.220881522,6.915209187,10
Synthetic,dqn,close_abs_inventory_pct,5.809788576,4.830677071,6.951609505,10
Synthetic,sac,auction_value_bps,0.5931427882,0.3781127786,0.8127028904,10
Synthetic,sac,auction_cash_bps,0.3473133778,0.2653773666,0.4185272002,10
Synthetic,sac,auction_risk_relief_bps,0.2458294104,0.01512882775,0.4810332091,10
Synthetic,sac,auction_fees_bps,0.052527,0.033428825,0.071323875,10
Synthetic,sac,open_abs_inventory_pct,4.934512875,3.291193445,6.56674903,10
Synthetic,sac,close_abs_inventory_pct,5.650141391,4.45371594,6.768117954,10
Synthetic,td3,auction_value_bps,0.3527227579,-0.01579817295,0.7301272252,10
Synthetic,td3,auction_cash_bps,0.2136861285,0.09571551416,0.3422806407,10
Synthetic,td3,auction_risk_relief_bps,0.1390366294,-0.1855268871,0.4373892646,10
Synthetic,td3,auction_fees_bps,0.057414,0.0311616,0.085517525,10
Synthetic,td3,open_abs_inventory_pct,4.87328117,3.383007688,6.551839445,10
Synthetic,td3,close_abs_inventory_pct,4.985035731,3.76157409,6.106817726,10
