phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.02734307220706161,0.09810000000000098,0.003315596505899632,0.015663000000000232,ddpg,GOOGL,577
clob,0.07496491362767005,0.09304477508528639,0.010564890774641254,0.014723185597244191,ddpg,GOOGL,577
auction,0.024205834719354394,0.10270000000000092,0.0013495808166208117,0.01575700000000032,ddpg,GOOGL,7
clob,0.07606091086345936,0.09396882041593636,0.010516343864648637,0.014736109087455318,ddpg,GOOGL,7
auction,0.026859230818435553,0.09910000000000106,0.0025064987098568224,0.017573000000000297,ddpg,GOOGL,811
clob,0.08429761112260577,0.10305336698913,0.015045935857584633,0.019644579277834532,ddpg,GOOGL,811
auction,0.027250812054022137,0.10140000000000068,0.0015613361293042593,0.01730600000000013,ddpg,GOOGL,99
clob,0.07773784489209735,0.09540794663448983,0.01084400484117634,0.015143339663673499,ddpg,GOOGL,99
auction,0.033781694044079276,0.14790000000000145,0.003442438272495733,0.029129000000000686,ddpg,JPM,123
clob,0.11286887854577936,0.12948258442021113,0.02419032888357142,0.028303853541945825,ddpg,JPM,123
auction,0.033141857744297606,0.1375000000000014,0.002282647132192288,0.025353000000000563,ddpg,JPM,1618
clob,0.11520329890836466,0.13193141222376326,0.023800357644721028,0.027775935428534165,ddpg,JPM,1618
auction,0.037525095473372044,0.13950000000000157,0.004002523217092576,0.027855000000000695,ddpg,JPM,2024
clob,0.1287715579460891,0.14333904484105595,0.03216288037934563,0.035005781257957606,ddpg,JPM,2024
auction,0.03615538906459809,0.15920000000000212,0.0026014653545596137,0.034750000000000864,ddpg,JPM,2718
clob,0.1144751368183096,0.13726324141546656,0.02322325016008164,0.029393715671212663,ddpg,JPM,2718
auction,0.03185469716798893,0.14380000000000107,0.0020790613160205783,0.027694000000000423,ddpg,JPM,314
clob,0.10938076140360135,0.12956386059932926,0.021988524162624604,0.0268053981877918,ddpg,JPM,314
auction,0.03238912372404294,0.14460000000000162,0.0022030254824716346,0.02571200000000062,ddpg,JPM,42
clob,0.11657442006807558,0.1334411178045415,0.024452178171433,0.02891251774333974,ddpg,JPM,42
auction,0.03519280896686497,0.14360000000000123,0.004077308073773411,0.02795000000000052,ddpg,JPM,577
clob,0.11467773340290899,0.1300019921661196,0.024594585627680146,0.02811169343247384,ddpg,JPM,577
auction,0.034874584932854516,0.14710000000000062,0.0031478937796916477,0.0299390000000004,ddpg,JPM,7
clob,0.11291635519092996,0.1329186004107338,0.022436086518052935,0.027729810297978066,ddpg,JPM,7
auction,0.03413712854508457,0.15210000000000176,0.0026542520404357773,0.030563000000000694,ddpg,JPM,811
clob,0.12839878351562906,0.14509345543714414,0.03038710781189072,0.03432517381884996,ddpg,JPM,811
auction,0.03447738986575371,0.15340000000000129,0.002350775476410239,0.030262000000000667,ddpg,JPM,99
clob,0.11369017970986313,0.13321100199959937,0.022896484055583807,0.028316045624590207,ddpg,JPM,99
auction,0.03929540913687753,0.17079999999999967,0.0035686672120987884,0.03929799999999948,ddpg,MSFT,123
clob,0.11970931759884347,0.14113568088370598,0.031036379116315512,0.039020337620842026,ddpg,MSFT,123
auction,0.03804373834539289,0.1682999999999998,0.003626648976238499,0.03726899999999969,ddpg,MSFT,1618
clob,0.12872091482825943,0.14945774334367382,0.03400614355178131,0.04189642312393243,ddpg,MSFT,1618
auction,0.0383073451296257,0.15370000000000028,0.003884030360455922,0.03436299999999987,ddpg,MSFT,2024
clob,0.12398266976427255,0.14390532535655526,0.03268305483607803,0.04038023581567949,ddpg,MSFT,2024
auction,0.04522889666257177,0.16020000000000179,0.005986934726636465,0.034888000000000315,ddpg,MSFT,2718
clob,0.1346387237502303,0.15782656960566568,0.037544181716118404,0.047646773330551145,ddpg,MSFT,2718
auction,0.0426915859804045,0.14470000000000038,0.005135345547558909,0.030398999999999714,ddpg,MSFT,314
clob,0.12206372731856988,0.1436242880167542,0.03100564017263697,0.039703479986338615,ddpg,MSFT,314
auction,0.042757446548668726,0.15769999999999992,0.004232786153838851,0.034036999999999346,ddpg,MSFT,42
clob,0.12128928413542962,0.14272859636559995,0.030983748711939475,0.03967960541870297,ddpg,MSFT,42
auction,0.03551098021314881,0.16799999999999965,0.004600707710588626,0.039391999999999344,ddpg,MSFT,577
clob,0.11552477560416173,0.13878093138789854,0.03068949037314237,0.039199837292988746,ddpg,MSFT,577
auction,0.04876095879737031,0.14240000000000033,0.006378654524331564,0.029803999999999876,ddpg,MSFT,7
clob,0.14029339618856473,0.1606082348626425,0.043132706184634016,0.052329435333492366,ddpg,MSFT,7
auction,0.04145856135978109,0.14710000000000018,0.004744886413687775,0.031118999999999664,ddpg,MSFT,811
clob,0.14140647190212594,0.1594661090077855,0.04165279791620009,0.05027356598272515,ddpg,MSFT,811
auction,0.039211061546191826,0.1625000000000008,0.00330096433249236,0.037162999999999786,ddpg,MSFT,99
clob,0.125656922972897,0.14749539195223302,0.03368369204166032,0.0415927268611703,ddpg,MSFT,99
auction,0.021697931549606787,0.10199999999999942,0.0010430367926226635,0.014673999999999925,ddpg,PG,123
clob,0.07185617418592592,0.08275991594305926,0.011430522904073355,0.013017502136143545,ddpg,PG,123
auction,0.022036902228007294,0.10229999999999943,0.001054789107519172,0.014668999999999807,ddpg,PG,1618
clob,0.07263298752750408,0.08399822812631114,0.010467396555057778,0.012288921482833807,ddpg,PG,1618
auction,0.026001688490008775,0.1016000000000005,0.0015634906349778648,0.015862000000000064,ddpg,PG,2024
clob,0.08788987037530527,0.09865602447557668,0.018327109487974228,0.01981816569244513,ddpg,PG,2024
auction,0.02370839986703754,0.11030000000000097,0.0012382407881735764,0.017311000000000253,ddpg,PG,2718
clob,0.07720348544045776,0.08984965554267012,0.011606126377026904,0.014041368953898514,ddpg,PG,2718
auction,0.023242246604481407,0.09329999999999938,0.0012092963915071144,0.013638999999999912,ddpg,PG,314
clob,0.07325836197669039,0.08437787186892022,0.011146278457613132,0.012955837410305274,ddpg,PG,314
auction,0.02330684011536455,0.08969999999999939,0.0013364282421258742,0.011362999999999861,ddpg,PG,42
clob,0.07627832157291797,0.0870018208877271,0.011807318257606234,0.013946801166943953,ddpg,PG,42
auction,0.01961124458893895,0.09889999999999911,0.0008007502941252882,0.013500999999999697,ddpg,PG,577
clob,0.07316738752621288,0.08325042157503028,0.011394072159168891,0.012826165629952192,ddpg,PG,577
auction,0.022029340020464826,0.0823999999999992,0.0011404132729211966,0.009907999999999806,ddpg,PG,7
