setting,policy,env_seed,pnl,objective,auction_qty
synthetic,twap,1844441823,-47.94999999999891,-47.94999999999891,0.0
synthetic,twap,179641510,-104.60000000000036,-104.60000000000036,0.0
synthetic,twap,870942306,21.95571900998948,17.106036995624017,0.0
synthetic,twap,1311016458,-55.649999999999636,-56.149999999999636,0.0
synthetic,twap,1805032828,-15.099999999998545,-15.099999999998545,0.0
synthetic,twap,303740759,15.849999999994907,11.349999999994907,0.0
synthetic,twap,1355969104,23.689921900961053,7.4471476473431935,0.0
synthetic,twap,1764842796,19.649999999997817,19.649999999997817,0.0
synthetic,twap,1383645732,32.64560509442708,32.64549378325832,0.9756741408849755
synthetic,twap,1985479305,0.8499999999967258,0.8499999999967258,0.0
synthetic,twap,864111288,44.75000000000364,44.25000000000364,0.0
synthetic,twap,2081685987,-0.5667498737439018,-1.457859002619319,0.0
synthetic,twap,1895926547,40.35000000000582,40.35000000000582,0.0
synthetic,twap,1398741270,11.450000000000728,11.320300477079154,0.0
synthetic,twap,2009557513,-12.849999999998545,-12.849999999998545,0.0
synthetic,twap,1103201918,-3.4500000000007276,-5.450000000000728,0.0
synthetic,twap,361761065,0.10000000000218279,0.10000000000218279,0.0
synthetic,twap,1240980348,11.949999999998909,9.949999999998909,0.0
synthetic,twap,997980576,-30.19999999999891,-30.19999999999891,0.0
synthetic,twap,1364962393,-1.8999999999996362,-1.8999999999996362,0.0
synthetic,twap,356954267,2.599999999998545,2.599999999998545,0.0
synthetic,twap,1167316122,5.999999999998181,3.999999999998181,0.0
synthetic,twap,1158524309,-52.79809365620349,-65.10818610570648,0.0
synthetic,twap,1547310865,44.06837696298135,9.488533177706124,0.0
synthetic,twap,1409501092,-36.70768650831451,-44.104582325425085,0.0
synthetic,twap,227509318,-71.35000000000036,-71.35000000000036,0.0
synthetic,twap,968065134,-14.099999999996726,-14.099999999996726,2.0
synthetic,twap,2097409267,39.218406471620256,35.75503512942447,0.0
synthetic,twap,202934377,41.850000000000364,41.350000000000364,0.0
synthetic,twap,1117479723,33.39999999999418,33.39999999999418,0.0
synthetic,twap,1948070446,-4.30000000000291,-4.30000000000291,0.0
synthetic,twap,309215797,-19.962700094740285,-19.96276674449502,0.988454459325227
synthetic,twap,1001532050,-31.2802628722402,-31.2802628722402,0.7377497432798599
synthetic,twap,994774750,3.951063479458753,3.4581282094277466,0.0
synthetic,twap,61060762,2.850000000002183,2.850000000002183,0.0
synthetic,twap,449593739,-19.850000000002183,-21.850000000002183,0.0
synthetic,twap,603013079,31.56447368420777,31.53642659279502,0.7631578947368212
synthetic,twap,874551896,36.450000000006185,36.450000000006185,6.0
synthetic,twap,213603552,20.75000000000182,20.75000000000182,0.0
synthetic,twap,1740456870,27.600000000002183,27.600000000002183,0.0
synthetic,twap,732692615,-8.099999999998545,-8.099999999998545,0.0
synthetic,twap,192634188,-1.0266941446607234,-7.270858295860226,0.0
synthetic,twap,744804721,40.89833600909151,40.89778223594241,2.966720181818489
synthetic,twap,76594293,31.000000000005457,29.000000000005457,0.0
synthetic,twap,1530334568,-19.850000000004002,-19.850000000004002,0.0
synthetic,twap,553623364,17.049999999997453,12.549999999997453,0.0
synthetic,twap,1894087679,29.299999999993815,29.299999999993815,0.0
synthetic,twap,94550601,19.30000000000473,14.80000000000473,0.0
synthetic,twap,37364028,-1.5,-1.5,0.0
synthetic,twap,612614785,-23.850000000004002,-23.850000000004002,0.0
synthetic,twap,851507639,32.95000000000073,30.950000000000728,0.0
synthetic,twap,2075766370,46.45000000000255,46.45000000000255,0.0
synthetic,twap,1519039213,8.400000000001455,8.400000000001455,0.0
synthetic,twap,1008287579,1.8189894035458565e-12,-0.499999999998181,0.0
synthetic,twap,1346315091,12.849999999998545,12.849999999998545,0.0
synthetic,twap,1039067522,-43.399999999999636,-43.399999999999636,0.0
synthetic,twap,962972765,21.49999999999818,21.49999999999818,0.0
synthetic,twap,1638957559,15.850000000000364,13.850000000000364,0.0
synthetic,twap,789187642,-47.849999999998545,-47.849999999998545,0.0
synthetic,twap,2007414648,36.50000000000364,36.50000000000364,0.0
synthetic,twap,1710040823,39.63745824934631,39.60599914747772,0.0
synthetic,twap,350402779,5.89758165026069,5.701775789401403,0.0
synthetic,twap,1690655709,19.200000000000728,19.200000000000728,0.0
synthetic,twap,1979491417,38.54999999999745,34.04999999999745,0.0
historical,as,571620923,36.18042215751302,35.76717679896823,0.0
historical,as,1854563839,48.63654147002853,48.62874829065143,0.0
historical,as,1583303502,36.81424152614454,36.81364650160105,0.0
historical,as,1973187632,39.76694539919845,39.32372121364737,0.0
historical,as,426150381,48.95916887389649,48.646266468780915,0.0
historical,as,786966776,52.47024381267147,52.46455245202574,0.0
historical,as,153620692,33.79330981817111,33.79330981817111,0.8927998866105427
historical,as,318928945,40.47439832000964,40.46395512112252,0.0
historical,as,1322634316,49.482152344524366,49.263229917896155,0.0
historical,as,262845664,52.688399392825886,52.68813924359193,0.0
historical,as,1776312543,4.241534074706578,4.169065633382998,0.0
historical,as,41087437,35.05572235879845,35.01589144717705,0.0
historical,as,595352142,35.29829257313759,35.021980106565344,0.0
historical,as,275629747,2.875763824527894,2.4057604132089287,0.0
historical,as,348778394,50.37124144473637,50.37053869801577,0.0
historical,as,327072471,35.73839795642925,35.44521265565912,0.0
historical,as,116913155,52.384592006919775,52.27359398588143,0.0
historical,as,1944279313,50.208901720116046,50.091648594497684,0.0
historical,as,350985218,4.9865066417423805,4.7823865231534315,0.0
historical,as,776870983,54.89228233286303,54.48832437412767,0.0
historical,as,769220178,38.755241755436145,38.57558671324234,0.0
historical,as,1535564132,50.115750865074006,50.11552971892773,0.0
historical,as,1471500935,53.17426574547426,52.895717485339446,0.0
historical,as,433718991,39.18522137801301,39.16475430414228,0.0
historical,as,51839939,52.02239754713992,52.02239754713992,0.9193046034993797
historical,as,203252677,4.079518065775119,3.9807577381868007,0.0
historical,as,1449455949,4.235655626818698,3.936213518189206,0.0
historical,as,1532703018,30.251957727885383,30.155616898720805,0.0
historical,as,114462228,6.956394215709224,6.5643229784516155,0.0
historical,as,686530427,34.89219550307098,34.56064280501414,0.0
historical,as,312725689,45.65973139261405,45.16902791040372,0.0
historical,as,1989546218,50.879938356712955,50.54263114425359,0.0
historical,as,346876782,2.5024425059564237,2.3894325565415135,0.0
historical,as,469030513,48.885603822409394,48.884760490524,0.0
historical,as,1387327264,43.2589548705655,43.258873699918965,0.5314629837401474
historical,as,441062544,43.85713548794047,43.8010424859334,0.0
historical,as,211057610,47.299784887562055,47.206691355625374,0.0
historical,as,2130954212,50.78138602842046,50.77969737143009,0.0
historical,as,1455161373,54.0383275588174,44.28540821329291,0.0
historical,as,448875740,10.861093908182738,10.663945651208627,0.0
historical,as,1290694244,48.896860635944904,48.79628236774165,0.0
historical,as,1970939311,37.60850678051793,37.60850678051793,0.02936668828181288
historical,as,2032328172,43.82814349639739,43.55112693963079,0.0
historical,as,1356969079,3.174210254839636,2.9499737927504692,0.0
historical,as,168383381,-0.26963321314724453,-0.4730993128686861,0.0
historical,as,1106079783,54.1065245460959,53.75636644762623,0.0
historical,as,1915261509,55.46618110559211,55.03725223103864,0.0
historical,as,2118141694,51.17062567548419,51.11160166028848,0.0
historical,as,1424006637,39.32163308281815,39.17568094366571,0.0
historical,as,1913317175,49.434757610741144,49.432139662123795,0.0
historical,as,1768363633,36.079475454862404,35.99524592208917,0.0
historical,as,448345066,39.855087073145114,39.84353683970557,0.0
historical,as,1377524954,54.210801906023335,54.19636976319985,0.0
historical,as,2027493763,0.4146184591190831,0.3609470400032408,0.0
historical,as,790017967,51.04219665923847,50.61706105645598,0.0
historical,as,1534695219,46.96392975783601,46.81266181739863,0.0
historical,as,447527585,55.479052988133844,55.0556645775657,0.0
historical,as,1361042713,34.315931808803725,34.149223005328516,0.0
historical,as,1198686432,47.420437980727,47.42042571999094,0.5137238064155009
historical,as,562256782,34.917227931107846,34.44158179442353,0.0
historical,as,1430263864,54.12066925396903,53.97721575428817,0.0
historical,as,1988024584,40.04695138983698,40.03398023709798,0.0
historical,as,1699470363,49.290183497381804,48.86760459027425,0.0
historical,as,1963472178,43.72979107287574,43.68031368037338,0.0
historical,as,1523897475,54.34501675629508,54.34501675629508,0.08151258937416506
historical,as,1503589113,2.785156649428245,2.4476939926847634,0.0
historical,as,813073339,36.34782430557971,35.9555511771734,0.0
historical,as,1835625797,39.49319876629124,39.42219429349809,0.0
historical,as,1065368540,4.066739670421157,3.6719290690802673,0.0
historical,as,130511148,47.17988246108507,47.17988234063149,0.7487951085788569
historical,as,908960744,52.94378994107501,52.91129690071267,0.0
historical,as,586518796,-1.6692113441131369,-1.6692113441131369,0.4485748469879738
historical,as,941591196,54.22818673316215,53.87839681227393,0.0
historical,as,250590938,34.93250508315032,34.758691912328594,0.0
historical,as,1530857305,51.65018624274671,51.57335877837317,0.0
historical,as,547603789,23.655826985514068,23.639655419318753,0.0
historical,as,706167879,45.474001333052,45.338861173045466,0.0
historical,as,689568189,51.72515590477087,51.38019304312442,0.0
historical,as,944504604,41.809909083105595,41.7740778307288,0.0
historical,as,779133594,44.05173305444441,44.05109526799634,0.0
historical,as,298020478,49.610238166931595,49.578438037976106,0.0
historical,as,685957300,40.68475791067431,40.61869239405014,0.0
historical,as,764154057,40.92936265235221,40.8086553560111,0.0
historical,as,1040771040,3.038675929494275,2.9879295851884584,0.0
historical,as,425742929,-2.692468178564013,-2.890416928382795,0.0
historical,as,410048416,54.073480920753354,54.07347861188505,0.7238852394578216
historical,as,701012576,32.730921155012766,32.72870930671817,0.0
historical,as,1847524681,34.32049136255955,33.920930166725064,0.0
historical,as,2065104215,42.69182220348921,42.55687160519701,0.0
historical,as,266999249,-1.8315961678945314,-2.320413268430695,0.0
historical,as,2037878581,37.58217643878743,37.447604856697566,0.0
historical,as,1507450548,53.79983496605746,53.32715075577595,0.0
historical,as,1929806079,51.2475654341597,51.24747765884583,0.0
historical,as,776648021,30.273375855576887,29.781663065104304,0.0
historical,as,190165316,40.12636379941068,39.67710335330081,0.0
historical,as,1762991532,-9.142420266633053,-9.360271099037917,0.13519649690517196
historical,as,353781601,55.53550442896085,55.53550442896085,0.8129181970896227
historical,as,1550581390,29.616390549532298,29.388374400098566,0.0
historical,as,1318414678,53.59363182515153,53.59363182515153,0.567999568093799
historical,as,910482997,2.132792895870807,1.6399575152029362,0.0
historical,as,1013315373,53.789067452335075,53.78897244428717,0.5811502282295667
historical,as,203193518,2.8409647364587727,2.739601238073417,0.0
historical,as,2105103849,51.38912866204191,51.027094768895246,0.0
historical,as,1967277198,1.7526123305706278,1.4402279432690395,0.0
historical,as,627372269,1.0853921504167374,0.7297499313086431,0.0
historical,as,1743826027,0.26000595276673266,-0.15101558723915504,0.0
historical,as,580403189,-1.7094577803054563,-1.7967757176909207,0.0
historical,as,1991749064,-6.9873317668152595,-7.179741864314495,0.0
historical,as,832243325,5.525871719519273,5.149458830902214,0.0
historical,as,1658647594,47.24914194120174,47.11638768544798,0.0
historical,as,1418124226,50.68447767796715,50.652436283736264,0.0
historical,as,1005943129,52.97060031218825,52.954536197337625,0.0
historical,as,1279405884,38.317953386562294,38.22583589400969,0.0
historical,as,1042636236,4.887543153732622,4.814217580322176,0.0
historical,as,1127525548,55.084288010601085,55.08423837054898,0.7678776413405818
historical,as,1749228258,-7.807047333113587,-8.215100070112076,0.0
historical,as,761791963,45.59590344862772,45.5592399785036,0.0
historical,as,1535699227,40.18939117234913,40.148225393430415,0.0
historical,as,382047915,38.64078118970065,38.254159288506024,0.0
historical,as,1397923752,-2.599175448422102,-2.599176276363468,0.6697929746290341
historical,as,1547442723,2.7745510346776427,-14.202458794694135,0.0
historical,as,2046243638,44.63531673514444,44.45656758442252,0.0
historical,as,1538882168,52.80764023072152,52.53788557924153,0.0
