symbol,date,initial_raw_price,annual_realized_vol,horizon_return_bps
synthetic,37,100.0,0.09544288457224824,30.96253907700408
synthetic,38,100.0,0.08925469750043977,15.65415246950197
synthetic,39,100.0,0.11831108031802082,62.98604391701712
synthetic,40,100.0,0.23026475835873697,166.40213581869068
synthetic,41,100.0,0.1869557240141487,-30.611544442571414
synthetic,42,100.0,0.06313895202137397,32.04208118176233
synthetic,43,100.0,0.1385803726850166,-3.92913764736047
synthetic,44,100.0,0.07250004451693737,55.78475009864636
synthetic,45,100.0,0.14488549173613857,28.60950823996733
synthetic,46,100.0,0.18500261771129103,8.23735280884641
synthetic,47,100.0,0.10602417992037737,31.44466669336543
synthetic,48,100.0,0.08210095884981608,50.8760437671163
synthetic,49,100.0,0.1435528201675319,15.78854717959599
synthetic,50,100.0,0.24411492721719918,-20.030346677359923
