algo,seed,arm,objective,pnl,penalty,openI,closeI,short,auc,auccash,initial_test,as_score
ddpg,99,headline,9.535908474270345,10.233182717376872,0.6972742431065251,13.882626967466042,5.840125579610187,43.0,2.2899836214605678,0.019875591952218694,7.121639624190147,5.59211629802852
ddpg,99,cashflow,3.806765641326487,4.270436323657736,0.4636706823312492,0.7339280615326581,5.072911037239524,10.0,-0.261619451326896,0.15578509909050442,7.121639624190147,5.59211629802852
ddpg,123,headline,5.005219839920098,5.8542486298724,0.8490287899523028,5.246126224314597,4.397498167099898,21.0,0.6070868878045997,0.0010186495949529473,4.342552427594546,3.821722331132446
ddpg,123,cashflow,3.8494652568931746,4.4783099749965,0.6288447181033245,3.141658700070214,4.692203141604894,3.0,-0.4298403909951488,-0.30540957075482567,4.342552427594546,3.821722331132446
ddpg,2024,headline,2.5369727383720715,3.3253178327724826,0.7883450944004108,10.746395586855906,5.051369127065758,17.0,1.9946690683618435,0.2031594071591262,-0.6601440384728476,-2.37672884628564
ddpg,2024,cashflow,0.43201966921543233,1.3348651880424471,0.9028455188270149,2.166027143730465,5.862754070282332,35.0,-0.9103385089315384,-0.44418530716412497,-0.6601440384728476,-2.37672884628564
ddpg,314,headline,6.557966068489432,7.553412549362149,0.9954464808727174,5.675705494103504,5.820725650058448,42.0,0.6887778925570524,0.3555062506344202,4.632577461196558,2.226787834773797
ddpg,314,cashflow,2.030051812315893,2.0376517824960576,0.00759997018016445,0.6117097238612667,0.5812134801419593,13.0,-0.2684137329421783,-0.26896641153196355,4.632577461196558,2.226787834773797
ddpg,577,headline,2.9719333704747,3.8001820205986236,0.8282486501239228,4.441216731852703,3.5386264849492015,10.0,0.10651517546669836,-0.10450461431055941,1.7830270819851524,0.9988444834958614
ddpg,577,cashflow,0.09339206536740319,0.12493669720222504,0.03154463183482169,0.6404616501755457,0.588993348689317,22.0,-0.23474142717302177,-0.22962430862956412,1.7830270819851524,0.9988444834958614
ddpg,811,headline,0.8810071621123717,1.7633563481241754,0.8823491860118033,5.662725589867911,5.1256753965512925,28.0,0.41301523713832744,0.15922464050814153,-1.4488033271159464,-2.742795168677068
ddpg,811,cashflow,-2.387706385045529,-2.382417128436042,0.00528925660948671,0.5346627787241586,0.5902795037842529,4.0,-0.2884775198783551,-0.28780243581143794,-1.4488033271159464,-2.742795168677068
ddpg,1618,headline,5.483804244365124,6.007963742489498,0.5241594981243726,3.7371765281182663,3.9031882335224886,25.0,0.14426584311115673,0.0053091989207520954,2.787532073917307,2.583783287653946
ddpg,1618,cashflow,-0.6835979607258542,-0.32251643008785924,0.36108153063799475,0.4943535265678918,1.156036843651701,1.0,-0.8213836984401225,-0.46364456728831477,2.787532073917307,2.583783287653946
ddpg,2718,headline,-2.272428785519679,-1.6407179674838357,0.6317108180358434,2.0625901186708626,3.5223209708751724,11.0,-0.030072160914900715,0.21416743607372835,-3.5988562828592046,-5.9426175002824815
ddpg,2718,cashflow,-3.7707989382435465,-3.5529941811101624,0.2178047571333842,1.122083454853718,2.24322325656874,22.0,-0.39280434598323793,-0.3175589585588031,-3.5988562828592046,-5.9426175002824815
td3,42,headline,4.71744604556345,4.874391487032062,0.15694544146861233,2.6804851933931957,2.289752939018401,49.0,0.3277577001069089,0.10087111780268848,1.4818241727290888,-1.7290490843505832
td3,42,cashflow,1.34530031770333,1.348909016417474,0.0036086987141437433,0.5215020193044366,0.5215020193044364,0.0,7.135069868513229e-18,0.0,1.4818241727290888,-1.7290490843505832
td3,7,headline,1.8464688994027827,2.4875287833627584,0.6410598839599772,1.7463931212734445,4.707608637789116,40.0,0.13724746591381864,0.4927304934183884,0.4044782266090121,-1.2226663993279123
td3,7,cashflow,-1.5478348832661561,-1.544286702678073,0.003548180588082727,0.5184121668194628,0.5184121668194652,0.0,-2.1599502785310528e-17,0.0,0.4044782266090121,-1.2226663993279123
td3,99,headline,9.242174904529996,9.947689220600921,0.7055143160709251,6.02998788358777,5.481895512649279,18.0,0.39826988783916134,0.1423451392590373,6.548294809714231,5.59211629802852
td3,99,cashflow,2.1078119548859022,2.111593321494438,0.0037813666085355444,0.5359553393768175,0.5359553393768164,0.0,1.4443491975352207e-17,0.0,6.548294809714231,5.59211629802852
td3,123,headline,6.846358198425329,7.928832414241572,1.082474215816245,6.648228062003033,7.170282856865495,41.0,1.5076202399793663,0.6920962321625087,4.140911441615701,3.821722331132446
td3,123,cashflow,1.8104754581110805,1.8140149763885893,0.0035395182775083806,0.5270007404157454,0.5270007404157472,0.0,7.923376581578367e-19,0.0,4.140911441615701,3.821722331132446
td3,2024,headline,3.463607657705003,4.506841224359731,1.0432335666547294,6.943424265441991,7.617745387003838,42.0,1.3137492793510237,1.0299560311027387,-1.4439797751524028,-2.37672884628564
td3,2024,cashflow,-1.5477956851101078,-1.5441287816093245,0.003666903500783563,0.5398179565100021,0.5398179565100029,0.0,6.200394337503226e-18,0.0,-1.4439797751524028,-2.37672884628564
td3,314,headline,6.427432317501345,6.650815467743705,0.22338315024235805,1.3204735720433396,3.418069962928274,37.0,0.20929080410070242,0.32670190681865635,4.362518533499395,2.226787834773797
td3,314,cashflow,1.6826196727041114,1.68463930513543,0.0020196324313188794,0.5352410477896535,0.35521376111963016,76.0,-0.3116398778881358,-0.31333685337483763,4.362518533499395,2.226787834773797
td3,577,headline,4.102435677103276,4.725115953725944,0.6226802766226676,6.533987137955353,5.301848393737705,34.0,0.7125692419716709,0.18667122272776396,1.528564242869568,0.9988444834958614
td3,577,cashflow,-1.8289390584143954,-1.8259160202467501,0.0030230381676448954,0.4707210683455611,0.47072106834556116,0.0,9.178762079824899e-18,0.0,1.528564242869568,0.9988444834958614
td3,811,headline,0.41903398899735045,1.352247086961433,0.933213097964084,8.07686118638489,4.865655822891101,33.0,1.1876776546345031,-0.3922476508354888,-1.7854887616481108,-2.742795168677068
td3,811,cashflow,-3.4869662212074917,-3.483681938633472,0.003284282574019534,0.4949679552440341,0.4949679552440336,0.0,9.980354049387527e-18,0.0,-1.7854887616481108,-2.742795168677068
td3,1618,headline,5.667994046071908,5.8518180632216215,0.18382401714971433,1.4636136975009981,2.8796954055286044,31.0,0.165168579893358,0.22709729681300814,2.5423251817155306,2.583783287653946
td3,1618,cashflow,0.0456576201654659,0.04902592702072072,0.0033683068552549365,0.49599620520507104,0.4959962052050701,0.0,1.0567674910667774e-17,0.0,2.5423251817155306,2.583783287653946
td3,2718,headline,-2.057304466790294,-1.8382812837492202,0.21902318304107432,1.0455625640905544,3.320656517738409,48.0,0.010390110986408525,0.1140309423646112,-4.71991417050317,-5.9426175002824815
td3,2718,cashflow,-4.677634329823005,-4.67374792825447,0.0038864015685356463,0.5509226043519722,0.5509226043519698,0.0,1.5884906237606523e-17,0.0,-4.71991417050317,-5.9426175002824815
