algo,seed,arm,episodes,selected_ep,init,selected,final,maxloss,late_loss_c,late_loss_a,trainret,replayret
dqn,2718,cashflow,450,249,-12.364833267304796,4.738326614198542,-5.932423490842654,1287058.0178540547,176751.7721278464,158024.780860583,9988.26861168081,9988.26861168081
ddpg,42,headline,300,99,-1.6596669303803804,-0.39860089014577205,-0.7559823819525612,8.979341983795166,2.2104822900560164,0.1747828554362058,1.7689726107779353,2.53003635975265
ddpg,42,cashflow,250,98,-1.6596669303803804,-2.151747332505572,-3.3316893490690873,1234119.5032661438,184444.55218796505,133737.4840328773,10001.454103775803,10001.454103775803
ddpg,7,headline,800,699,1.6494915464397517,4.132680550027818,3.931215674942951,8.509762908137121,1.7683231877653223,0.1209691325202584,10.440004591976699,5.959942724305318
ddpg,7,cashflow,300,99,1.6494915464397517,1.817890786880923,0.5439230446295555,1249111.3782180783,185998.23025173612,108795.54199043909,9998.904942751498,9998.904942751498
ddpg,99,headline,800,749,1.4690296013522501,4.320002822075648,3.950526452871901,13.20869197845459,2.3599590304689015,0.13589648660272358,1.750782167720254,5.554170853030709
ddpg,99,cashflow,250,98,1.4690296013522501,0.40101007826397117,-0.8090881353070611,1106493.3869819003,182273.6490447139,135244.41555322014,10000.347139163228,10000.347139163228
ddpg,123,headline,500,299,5.793931433792526,6.837456035453684,6.517293786995683,9.763283707878804,2.457371677954992,0.1757538897916674,6.811573845951733,4.2278200986634955
ddpg,123,cashflow,800,599,5.793931433792526,4.577266904468548,4.025645493966297,1130121.1068804422,185914.17933872767,58513.441064834595,10001.332183133316,10001.332183133316
ddpg,2024,headline,350,149,-0.8499613727082596,1.4213758483662948,1.2358748539942228,10.028981608313485,1.7611222779520925,0.16222388849904135,6.014664854891702,3.2374378741748973
ddpg,2024,cashflow,600,399,-0.8499613727082596,-1.7393300325473542,-3.3429546758596658,954025.025419124,178713.72904829547,43450.754394022624,10007.955957691145,10007.955957691145
ddpg,314,headline,700,499,6.85021476967743,9.249367843240002,8.560494938161007,8.518512435581373,2.3972669791925205,0.15691330383221305,0.4234066466062768,2.1053202168067715
ddpg,314,cashflow,250,98,6.85021476967743,0.3439447578984708,-1.0567840287503103,1095275.0906321208,185456.87444449164,149878.60001854895,9995.96178715236,9995.96178715236
ddpg,577,headline,500,299,6.590597616781886,7.7985943354169,7.7498124369631745,11.088602408384665,2.4143334312186377,0.20527264972527814,0.3256605194206571,3.9430764096606117
ddpg,577,cashflow,300,99,6.590597616781886,4.044751662050929,1.4684023256356258,1194989.1349895794,183771.15172813085,147818.50783049266,10001.245627992514,10001.245627992514
ddpg,811,headline,700,499,0.2240032231999316,1.505705407941893,1.4878005672647,6.896482996824311,2.417068870649451,0.08405982435991366,1.9017297351818103,2.1261182168888366
ddpg,811,cashflow,250,98,0.2240032231999316,-1.3179387476730475,-5.805422499783355,1286077.7523969014,183568.0805833899,139027.1115418434,10000.265268890538,10000.265268890538
ddpg,1618,headline,450,249,-0.7521214658552153,2.956774081022277,2.663473953075856,16.74472530909947,2.4472176894274624,0.11200803987060981,2.30781938766863,3.7879934314525827
ddpg,1618,cashflow,300,99,-0.7521214658552153,-0.9959136813657233,-1.7629012679503435,1521377.5875,190995.7791876941,130661.62449059487,9996.957689179151,9996.957689179151
ddpg,2718,headline,650,449,3.6586472918860466,4.45760471325921,4.40772158566063,7.447179894114649,4.719225539673458,0.022784312434184002,3.827089752509705,2.1108713455130776
ddpg,2718,cashflow,250,98,3.6586472918860466,2.8025963944279577,-0.370994935435463,1286591.0783697765,183742.2881637282,126729.97015740076,10004.956982482168,10004.956982482168
td3,42,headline,350,149,-2.232431246762873,1.221191178599676,0.8701894401609062,19.26355587111579,6.574961656332016,0.4487569583579898,10.514957461086933,7.5650943498040535
td3,42,cashflow,250,98,-2.232431246762873,-2.8998486215588,-2.8998486215588,2469193.929738363,115695.77631052042,234029.21441612244,10001.904683999377,10001.904683999377
td3,7,headline,700,499,1.5629498040345597,4.008261069980447,3.8536332775889983,17.8167004252589,4.3706335066208855,0.14548781470706065,4.060300682915704,5.400739293740851
td3,7,cashflow,250,98,1.5629498040345597,-0.6457221939690321,-0.645722193969032,2499956.243300374,172118.50053841108,183493.19254964194,10003.33999565186,10003.33999565186
td3,99,headline,800,699,0.1912520413568064,4.682332240932067,4.607431622265395,28.210726059807673,6.373655822843013,0.2580890070647001,1.3146094419987953,5.117998127309253
td3,99,cashflow,250,98,0.1912520413568064,-1.2077429702761586,-1.2077429702761586,2841501.5989583335,206107.68712879205,289633.8723836263,10000.073559134657,10000.073559134657
td3,123,headline,650,449,5.887843569180951,8.065406442089825,7.782787156024233,21.142648870294742,4.908213392742143,0.2965980079025029,9.531416539814519,4.332162201342095
td3,123,cashflow,250,98,5.887843569180951,2.0515560111514013,2.0515560111514013,2254586.5777689614,129180.9177895434,246419.70843009948,10000.832686590598,10000.832686590598
td3,2024,headline,800,799,-1.3659934629385075,2.198722618214792,2.198722618214792,21.200143530562116,5.969850181764998,0.35914478898048396,10.310099917987388,6.727024319067331
td3,2024,cashflow,250,98,-1.3659934629385075,-3.721082705748541,-3.721082705748541,1899748.8603973389,112564.69144798344,255525.41301231383,9997.890715283207,9997.890715283207
td3,314,headline,800,749,6.637859111341827,6.797207088043399,6.293810753945457,18.29680631471717,4.416040354586662,0.178517057467252,8.892905909026254,1.9043050031044877
td3,314,cashflow,300,99,6.637859111341827,-0.06091467593116506,-0.1843453255606635,2173814.718271891,110990.5385085794,212826.818293794,10001.240277928968,10001.240277928968
td3,577,headline,800,749,6.215840827396212,8.773649538569456,8.682447927246798,23.393644601870808,4.327063640822535,0.2681819099312026,1.5136902702202075,7.855402169918379
td3,577,cashflow,250,98,6.215840827396212,1.9804481804451068,1.9804481804451068,2395096.8237455366,144424.88454201142,242015.29229482013,9998.86839505552,9998.86839505552
td3,811,headline,400,199,-0.5396483914207673,1.5243842660920728,1.5170599160449518,15.10615911716368,6.988680617753849,0.345997945467631,0.6621437116724747,6.206247891263303
td3,811,cashflow,250,98,-0.5396483914207673,-2.336353626893033,-2.336353626893033,2573234.045941544,119658.81920463499,218931.67819506326,10000.224141152334,10000.224141152334
td3,1618,headline,800,749,-0.6135139394528395,4.134893863548567,3.981805088174045,35.490472248622346,4.816728250580544,0.10822762977331875,1.053995100470741,5.052944156896573
td3,1618,cashflow,250,98,-0.6135139394528395,-0.7090503939701669,-0.7090503939701668,3040677.2375,159746.01716038346,316683.4697308858,9999.363768828009,9999.363768828009
td3,2718,headline,250,98,2.379394182375419,4.5373347875513055,4.13236033740474,16.41076539283575,7.593078656846572,0.13024907813717918,8.1380808074318,0.8083801975910021
td3,2718,cashflow,250,98,2.379394182375419,1.7117292901093943,1.7117292901093943,2574180.8361287434,124498.27254971591,229254.99857088726,10005.260508387642,10005.260508387642
sac,42,headline,750,549,-1.482879334624566,0.6209151408936018,0.58816751357962,9.569770349396599,2.727279483708175,0.1609525979806979,0.6884505392120042,4.04182414586906
sac,42,cashflow,250,98,-1.482879334624566,-2.8998486215588,-7.208667777648656,1234522.2496917725,50763.94702080621,112685.25507329304,9997.53713602715,9997.53713602715
sac,7,headline,800,799,1.6561085722606839,5.288255154720476,5.288255154720476,8.828715912131376,2.056151475840804,0.1572426978188256,10.383617443316203,5.903555575644824
sac,7,cashflow,250,98,1.6561085722606839,0.2582714852734591,-1.4533706577771337,1368711.806986491,58164.30273582823,113975.88876546224,10002.45776567178,10002.45776567178
sac,99,headline,650,449,0.19879631881909,3.5786012177918667,3.537646720509819,14.159322049882675,2.2776391756362955,0.04658515478173885,6.587769067500322,4.659834712974203
sac,99,cashflow,750,549,0.19879631881909,-0.7934214263703221,-1.1649547422936162,1174084.6171417236,6377.62076607969,9081.75746866862,9998.221970494751,9998.221970494751
sac,123,headline,350,149,5.215820377652249,7.194391624142104,7.1692683475847145,10.543880993669683,2.847783198133712,0.25873914637292417,-4.36021785459521,2.968062206847718
sac,123,cashflow,600,399,5.215820377652249,2.0418889312656465,2.0399494626970114,1125394.2441884358,14381.123275819322,32194.056586201987,10002.166702854638,10002.166702854638
sac,2024,headline,800,799,-0.5600733982201636,2.141316121567778,2.1413161215677774,10.583894690951784,1.3898476814612364,0.08801640865082536,11.131678361093472,7.548602762173413
sac,2024,cashflow,500,299,-0.5600733982201636,-4.0492445864419055,-5.470816393361993,964203.5074350992,18575.60431171437,59823.71893920898,9996.074086747793,9996.074086747793
sac,314,headline,800,749,7.0802997840024595,7.454689544550684,7.189251673187928,9.16291209925776,2.852515776490056,0.14391877256954705,10.34247950153484,3.3538785956130757
sac,314,cashflow,250,98,7.0802997840024595,-2.2185893726234833,-4.56038706741947,1108866.3258463542,64165.27165813167,131454.79372266133,9990.0772770267,9990.0772770267
sac,577,headline,800,749,6.084582036622846,8.946159267202178,8.78518367290595,11.662944671435234,2.5138258895281815,0.3121320916339754,1.7319092214507124,8.073621121148882
sac,577,cashflow,350,149,6.084582036622846,1.5366916400977513,0.7139615231749791,1233250.7977791468,32405.601283772783,61631.98230895996,9994.984400313559,9994.984400313559
sac,811,headline,800,749,0.1718710499284346,1.427925913896413,1.2151176690377747,7.507150556983017,3.72283197868438,0.0863407533615827,4.247095923166912,4.915132236092633
sac,811,cashflow,250,98,0.1718710499284346,-2.336353626893033,-2.336353626893033,1415002.5286554971,46209.54848944482,99014.55067749025,10000.08593720203,10000.08593720203
sac,1618,headline,650,449,-0.8571700650724288,3.064253295722022,3.057561312487622,17.75269821711949,2.917028170147222,0.0736253681747863,1.700084423738869,6.805697628488628
sac,1618,cashflow,650,449,-0.8571700650724288,-1.745401439959741,-6.867067662383569,1534392.5541666667,9007.78122659917,28816.184990437825,9989.186264693673,9989.186264693673
sac,2718,headline,800,699,3.6359426390328826,5.233410558161392,5.2248854784341265,8.130532924519029,2.7108289996122865,0.048568096725891005,-1.1827324066320657,3.975118175452049
sac,2718,cashflow,250,98,3.6359426390328826,-5.1121735039268374,-5.89350186050622,1287825.4997507732,56191.04928311435,107760.18400243123,10000.942787999229,10000.942787999229
