calibration,reserve,schedule,alpha,beta,depth_scale,seed,inventory_open,auction_fill,inventory_final,pnl,objective,shaped_return,interim_credit,clearing_displacement,k_star,q,lambda_inv
penny_b10,0,all,0.01,0.1,10.0,1050297464.25,0.6446405469345726,9.190601676836346,-8.545961129901773,1.0488696792444896,-43.277249451955946,915.3351888827591,961.6885188856961,-0.060624999999998146,10000.0,,
penny_b10,0,last1,0.01,0.1,10.0,1050297464.25,0.6446405469345726,0.3138619660396792,0.3307785808948934,1.8586934524962544,1.7921430105774838,30.76526245959732,32.04920000000102,-0.05124999999999689,10000.0,,
penny_b10,0,last10,0.01,0.1,10.0,1050297464.25,0.6446405469345726,2.9251694660891,-2.2805289191545275,1.6906698579992965,-1.352796394591422,316.07652305443645,320.50540000000916,-0.053749999999997286,10000.0,,
penny_b10,0,noop,0.01,0.1,10.0,1050297464.25,0.6446405469345726,0.0,0.6446405469345726,1.8748765917951005,1.6555257739729874,-1.4205547770082019,0.0,-0.05062499999999657,10000.0,,
penny_b10,10,all,0.01,0.1,10.0,1050297464.25,10.475072351594124,9.190601676836346,1.2844706747577779,3.0364469369462768,-5.3520069729717985,953.7492185136247,961.6885188856961,-0.060624999999998146,10000.0,,
penny_b10,10,last1,0.01,0.1,10.0,1050297464.25,10.475072351594124,0.3138619660396792,10.161210385554444,3.846270710198155,-47.820202733931914,-18.35829613303082,32.04920000000102,-0.05124999999999689,10000.0,,
penny_b10,10,last10,0.01,0.1,10.0,1050297464.25,10.475072351594124,2.9251694660891,7.549902885505023,3.6782471157013106,-25.245367892417676,292.67273870849135,320.50540000000916,-0.053749999999997286,10000.0,,
penny_b10,10,noop,0.01,0.1,10.0,1050297464.25,10.475072351594124,0.0,10.475072351594124,3.8624538494968874,-51.04280768008432,-53.630101079184186,0.0,-0.05062499999999657,10000.0,,
penny_b10,20,all,0.01,0.1,10.0,1050297464.25,20.396222864227127,9.190601676836346,11.205621187390781,5.045158046230199,-65.50527901869292,894.0930874599165,961.6885188856961,-0.060624999999998146,10000.0,,
penny_b10,20,last1,0.01,0.1,10.0,1050297464.25,20.396222864227127,0.3138619660396792,20.082360898187446,5.854981819482077,-195.83548078676355,-165.87643319384946,32.04920000000102,-0.05124999999999689,10000.0,,
