market,policy,seed,n_episodes,objective_bps,pnl_bps,auction_edge_bps,auction_fees_bps,auction_cash_bps,auction_risk_relief_bps,auction_value_bps,open_abs_inventory_pct,close_abs_inventory_pct,short_probability_pct,gap_dqn_bps,gap_as_bps,gap_twap_bps,gap_initial_bps
JPM,sac,811,100,6.22170554591323,7.194933474376827,0.3705393838186183,0.040159999999999994,0.33037938381861826,1.1553791678627878,1.485758551681406,8.154581114590256,6.825940751488742,28.0,0.07090906315853258,3.053785178332382,9.18531216355716,2.1397940705129734
JPM,dqn,1618,100,3.572470443421505,4.409329690049286,0.2012469145952583,0.03238999999999999,0.16885691459525834,0.2865305670655053,0.45538748166076365,5.2250846628391265,5.2539819671912165,8.0,0.0,0.30647730403018175,6.906881069390289,20.70168601702325
JPM,as,1618,100,3.2659931393913233,7.496613336917198,0.005324677478683233,0.0,0.005324677478683233,0.003963327054486405,0.009288004533169638,13.486028725236372,13.447225939167408,0.0,-0.30647730403018175,0.0,6.600403765360108,
JPM,twap,1618,100,-3.334410625968784,2.8748684327998855,0.012534905448567177,0.0,0.012534905448567177,0.036881206079808576,0.049416111528375745,23.777839826383858,23.700076870540983,0.0,-6.906881069390289,-6.600403765360108,0.0,
JPM,ddpg,1618,100,4.245811409486652,4.9813746127872935,0.7703534043242893,0.000259999999999998,0.7700934043242894,0.0632859536838606,0.8333793580081499,3.7755456478828955,6.551617761068277,37.0,0.6733409660651478,0.9798182700953295,7.580222035455438,0.8396613511727871
JPM,td3,1618,100,4.311848844361903,4.972507562485316,0.7480572715840538,0.0,0.7480572715840538,0.02175175912153893,0.7698090307055924,3.9786432342057827,6.078624716709036,36.0,0.7393784009403988,1.0458557049705803,7.646259470330688,0.9617321567591864
JPM,sac,1618,100,4.490528196735429,4.995944825130723,0.670022196476805,0.007339999999999996,0.6626821964768052,-0.25482694890593693,0.4078552475708681,1.6376293622247584,5.026056162272003,43.0,0.9180577533139238,1.2245350573441056,7.824938822704211,1.2011050677254682
JPM,dqn,2024,100,6.531548966190851,7.378556725523562,0.1862538816005554,0.07215999999999999,0.11409388160055543,0.06329269161837164,0.17738657321892704,5.756766048076806,5.766089804765204,14.0,0.0,2.2479724122643505,7.423724126865742,35.031783719295746
JPM,as,2024,100,4.2835765539265,9.884317729000923,0.027784814628147143,0.0,0.027784814628147143,0.03196652249036118,0.05975133711850832,17.082213235367274,16.974677709070324,0.0,-2.2479724122643505,0.0,5.175751714601391,
JPM,twap,2024,100,-0.8921751606748909,5.26566887535726,0.02821532072794245,0.0,0.02821532072794245,0.053362982552902824,0.0815783032808453,23.502065112025807,23.358744007034847,0.0,-7.423724126865742,-5.175751714601391,0.0,
JPM,ddpg,2024,100,7.972567150441205,8.58058723624753,-0.030348498084989312,0.035399999999999994,-0.0657484980849893,1.5076987495698102,1.4419502514848213,10.934216709054617,5.424217052959084,21.0,1.441018184250353,3.688990596514704,8.864742311116096,2.8143494394469166
JPM,td3,2024,100,7.604173635497972,9.099606989510827,0.6049677076003737,0.0005200000000000001,0.6044477076003737,0.9369455372841236,1.541393244884497,10.763651087402636,9.392390541718544,25.0,1.0726246693071213,3.320597081571472,8.496348796172862,2.8692591179902434
JPM,sac,2024,100,7.197768095797829,8.106932008102243,0.18496044768675685,0.08006,0.10490044768675683,1.1858485923319593,1.2907490400187163,8.957424571798338,6.884458916808463,28.0,0.6662191296069778,2.914191541871327,8.08994325647272,1.8092208047991796
